प्रतिस्पर्धायां किं करणीयम् आसीत्?	போட்டியில் என்ன செய்ய வேண்டும்?
इति।	இவ்வாறு.
प्रथमः मिष्टान्नव्यवसायी स्वविपण्यां किम् अलेखयत्?	முதல் மிட்டாய்க்காரர் தனது சொந்தக் கடையில் என்ன எழுதினார்?
द्वितीयः मिष्टान्नव्यवसायी पुनः स्वविपण्यां किम् अलेखयत्?	அப்படியென்றால், இரண்டாவது மிட்டாய்க்காரர் தன் சொந்தக் கடையில் என்ன எழுதினார்?
द्वयोः मिष्टान्नव्यवसायी स्वस्वलेखने किम् उद्देश्यम् आसीत्?	அந்தந்த எழுத்துக்களில் இரண்டு மிட்டாய்களின் நோக்கம் என்ன?
किम् अत्र संसारे चतुराः स्वल्पतमाः सन्ति?	இந்த உலகத்தில் புத்திசாலிகள் மிகக் குறைவானவர்களா?
इयं कथा किं शिक्षयति?	இந்தக் கதை என்ன கற்பிக்கிறது?
भविष्यचिन्तायां वर्तमानः नैव विनाश्यः	எதிர்காலத்தைப் பற்றிக் கவலைப்பட்டு நிகழ்காலத்தை அழிக்கக் கூடாது.
भविष्यकल्पनायां किं, वर्तमानो विनाश्यताम्?। वर्तमाने य आनन्दः, किं भविष्ये स लभ्यताम्?॥	எதிர்காலத்தை கற்பனை செய்வதால் என்ன பயன்? நிகழ்காலம் அழிக்கப்பட வேண்டுமா? எதிர்காலத்தில் என்ன மகிழ்ச்சி இருக்கிறது, அது நிகழ்காலத்தில் கிடைக்கும்?
एकस्यां रात्रौ प्रतिवेशिनः गृहे कलहकोलाहलम् अशृणवम् ।	ஒரு நாள் இரவு, பக்கத்து வீட்டில் சத்தம் கேட்டது.
समीपे स्थितत्वात् कोलाहलः सुस्पष्टं श्रूयते स्म।	அருகில் இருந்ததால், சத்தம் மிகத் தெளிவாகக் கேட்டது.
"पत्नी कथयति स्म- ""यदि पुत्री भविता तर्हि तस्याः नाम मनोरमां रक्षिष्यामि, पुत्रः यदि भविता तर्हि श्यामं तस्य नाम रक्षिष्यामि।"""	மகள் பிறந்தால் மனோரமா என்ற பெயரையும், மகன் பிறந்தால், ஷ்யாமா என்ற பெயரையும் வைப்பேன் என்று மனைவி கூறினார்.
पतिः इमे द्वे अपि नाम्नी न इच्छति स्म।	இந்த இரண்டு பெயர்களில் எதுவுமே அவரது கணவருக்குப் பிடிக்கவில்லை.
सः पुत्र्याः नाम सुशीलां पुत्रस्य च नाम प्रांशुं रोचयति स्म।	மகளுக்கு சுசீலா என்ற பெயரும், மகனுக்கு பிருசு என்ற பெயரும் அவருக்குப் பிடித்திருந்தது.
पुत्रः पुत्री वा जन्म ग्रहणम् अकरोत् एव न, ततःपूर्वम् एव तन्नाम्नि दम्पत्योः कलहः मां नितराम् उपहासयति स्म इति।	இன்னும் பிறக்காத மகன் அல்லது மகளின் பெயரைப் பற்றி தம்பதியினருக்குள் ஏற்பட்ட சண்டை என்னை மிகவும் கேலி செய்தது.
पतिपत्न्योः कलहः कदा कुत्र अभवत्?	கணவன்-மனைவிக்குள் எப்போது,   எங்கே சண்டை ஏற்பட்டது?
पत्नी किं कथयति स्म?	மனைவி என்ன சொன்னாள்?
पत्युः कथनं किम् आसीत्?	கணவரின் அறிக்கை என்ன?
किम् अयं कलहः उपहासकारी न आसीत्?	இந்த சண்டை கேலிக்குரியதாக இல்லையா?
इयं कथा कां शिक्षां ददाति?	இந்தக் கதை என்ன பாடம் கற்பிக்கிறது?
विष्णुभक्ताः महत्तमाः	மிகப் பெரிய விஷ்ணுவின் பக்தர்கள்.
ध्यायन्ति परमेशं ये, त एव हि महत्तमाः। विष्णोरेतत्समाधानं, नारदं पर्यतोषयत्॥	யார் பரமாத்மாவைத் தியானிக்கிறார்களோ, அவர்களே மிகப் பெரியவர்கள்.  விஷ்ணுவின் இந்தத் தீர்மானம் நாரதரை மகிழ்வித்தது.
कः महत्तमः?	யார் பெரியவர்?
इदम् एकदा नारदः विष्णुं पृष्टवान्।	ஒருமுறை நாரதர் இதைப் பற்றி விஷ்ணுவிடம் கேட்டார்.
पृथ्वी महत्तमा	பூமி மிகவும் பெரியது.
विष्णोः उत्तरम् आसीत्।	விஷ்ணு உயர்ந்தவனாக இருந்தான்.
परितः समुद्रेण आवृतत्वात् सा महती कथम्?	அந்தப் பெரிய தீவு எப்படி எல்லாப் பக்கங்களிலும் கடலால் சூழப்பட்டுள்ளது?
नारदः जिज्ञासितवान्।	நாரதர் விசாரித்தார்.
तर्हि समुद्रः एव महत्तमः	அப்படியானால் கடல் உண்மையில் மிகப் பெரியது.
विष्णुः  उदतरत्।	விஷ்ணு எழுந்தான்.
समुद्रः तु अगस्त्येन पीतः, अतः सः कथं महान्?	"ஆனால் சமுத்திரத்தை அகஸ்தியரே குடித்தார், அது எப்படி பெரியது? (""ஒரு குறிப்பிட்ட காரணத்திற்காக பெருந்தகையால் கடல் எப்படி குடித்தது."")"
नारदस्य प्रश्नः आसीत्।	நாரதரின் கேள்வி:
तर्हि अगस्त्यः एव महत्तमः	அப்போது அகஸ்தியரே பெரியவர்.
विष्णुः समाहितवान्।	விஷ்ணு கவனம் செலுத்தினான்.
अनन्ताकाशे सूक्ष्मतारावत् प्रतीयमानः अगस्त्यः कथं महत्तमः?	எல்லையற்ற வானத்தில் (*அனந்தகாஷா*) சிறிய நட்சத்திரம் போல் தோன்றும் அகஸ்தியர் எப்படி பெரியவராக இருக்க முடியும்?
नारदः पृष्टवान्।	நாரதர் கேட்டார்.
तर्हि आकाशः एव महत्तमः	பிறகு, வெளி (ஆகாசம்) மிகப் பெரியது.
विष्णुः उदतरत्।	விஷ்ணு எழுந்தான்.
भवता एकेन पादेन मितत्वात् सः कथं महत्तमः?	அது உன்னால் ஒரு காலால் அளக்கப்பட்டது, அது எப்படி பெரியது?
नारदः पुनः जिज्ञासितवान्।	நாரதர் மீண்டும் வினவினார்.
तर्हि मम पादः एव महत्तमः	அப்புறம் என் கால்தான் பெரியது.
विष्णोः समाधानम् आसीत्।	விஷ்ணுவின் செறிவு இருந்தது.
किन्तु मया हृदि धारितः सः पादः कथं महत्तमः?	ஆனால் நான் என் இதயத்தில் வைத்த அந்த பாதம் எப்படி பெரியது?
नारदः अपृच्छत्।	நாரதர் கேட்டார்:
तर्हि नारदमुने! भवान् एव महत्तमः। भवादृशाः अन्ये मम चिन्तनपराः भक्ताः अपि महत्तमाः एव	அப்படியானால், ஓ நாரதா முனிவரே! நீரே மிகப் பெரியவர். என்னைப் பற்றிச் சிந்திப்பதில் அர்ப்பணிப்புடன் இருக்கும் உங்களைப் போன்ற மற்ற பக்தர்களும் மிகப் பெரியவர்.
अनेन विष्णोः उत्तरेण देवर्षिः परमं सन्तोषं प्राप्तः इति।	இதன் மூலம், தெய்வீக ருஷி விஷ்ணுவின் வடக்கு [திசை] வழியாக உச்ச திருப்தி அடைந்தார்.
नारदः विष्णुं किं किं पृष्टवान्?	நாரதர் விஷ்ணுவிடம் என்ன கேள்விகளைக் கேட்டார்?
विष्णुः  तस्य किं किम् उत्तरं दत्तवान्?	விஷ்ணு அவனுக்கு என்ன பதில் சொன்னார்?
नारदस्य सन्तोषः विष्णोः कस्य उत्तरेण अभवत्?	நாரதரின் திருப்தி என்ன, விஷ்ணுவின் பதிலால் என்ன திருப்தி கிடைத்தது?
महत्तमाः के सन्ति?	யார் பெரியவர்கள்?
इयं कथा किं शिक्षयति?	இந்தக் கதை என்ன கற்பிக்கிறது?
वैवश्यं चौर्यकारणम्	உதவியின்மையே திருட்டுக்குக் காரணம்.
जन्मना कोऽपि चौरो न, वैवश्यं चौर्यकारणम्। समाजात् सर्वकाराच्च, वैवश्यं तत् प्रजायते॥	பிறப்பால் யாரும் திருடன் இல்லை; உதவியற்ற தன்மையே திருட்டுக்குக் காரணம். அந்த இயலாமை சமூகத்திலிருந்தும் அரசாங்கத்திடமிருந்தும் எழுகிறது.
सः विकार्यताग्रस्तः आसीत्।	அவர் மாறுதலால் பாதிக்கப்பட்டார்.
कार्यं प्राप्तुं तेन बहुप्रयासाः कृताः।	அந்தப் பணியை நிறைவேற்ற அவர் பல முயற்சிகளை மேற்கொண்டார்.
किन्तु सफलता न कुत्र अपि मिलिता।	ஆனால் வெற்றி எங்கும் எட்டப்படவில்லை.
अन्ते बुभुक्षया म्रियमाणेन तेन कस्यचित् गृहस्थस्य गृहात् रोटिकां चोरयित्वा क्षुधाशान्तिः कृता।	இறுதியாக, பசியால் இறந்து, ஒரு குறிப்பிட்ட வீட்டுக்காரரின் வீட்டிலிருந்து ஒரு ரொட்டியைத் திருடி அவரது பசியைத் தணித்தார்.
चौर्यापराधे निगृहीताय तस्मै न्यायाधीशः दण्डम् उद्घोषयन् सर्वप्रथमम् आत्मने ततः च न्यायं श्रोतुम् उपस्थितेभ्यः सर्वेभ्यः जनेभ्यः शतशतरूप्यकाणां राशिना दण्डं दत्तवान्।	அவருக்கு, திருட்டுக் குற்றத்திற்காகப் பிடிக்கப்பட்ட நீதிபதி, தண்டனையை அறிவித்து, முதலில் தனக்கு நூறு நூறு ரூபாய் (காசுகள்) அபராதம் விதித்தார், பின்னர் நியாயத்தைக் கேட்க கூடியிருந்த அனைவருக்கும்.
जनैः पृष्टः च सः एवम् उत्तरम् अददात् -	என பொதுமக்கள் கேட்டதற்கு, அவர் கூறியதாவது:
समाजस्य एका व्यक्तिः विकार्यताग्रस्ता तिष्ठेत्। यदा समाजः तत्कृते किम् अपि न कुर्यात्, तदा व्यक्तिः दोषिणी न भूत्वा समाजः अपराधी भवति। अहम् अपि तेषु अपराधिषु एकः अस्मि। अतः अहम् अपि आत्मानं दण्डितवान्। परन्तु रोटिकाचौरः दण्डराशिं कुतः भरिष्यति? तस्य समीपे यदि इयन्ति एव रूप्यकाणि अभविष्यन्, तर्हि सः चौर्यम् एव किम् अकरिष्यत्? अतः सः क्षम्यते। नहि कश्चित् जन्मना चौरः भवति। जनतान्त्रिकः सर्वकारः अपि इह स्वल्पदोषी न अस्ति। सः आत्मनः रीतिनीती सुधारयतु, अन्यथा बुभुक्षितः किं न करोति पापम् ?	சமூகத்தில் ஒரு தனி மனிதன் வக்கிரத்தால் பாதிக்கப்பட்டு, சமூகம் அந்த நபருக்கு எதுவும் செய்யாதபோது,     அந்த நபர் குற்றவாளி அல்ல, ஆனால் சமூகம் குற்றவாளியாகிறது. நானும் அந்த குற்றவாளிகளில் ஒருவன். அதனால், நானும் என்னைத் தண்டித்தேன். ஆனால், ஒரு ரொட்டி திருடன் அபராதத்தை எங்கிருந்து செலுத்துவான். ஜனநாயக அரசாங்கமும் இங்கு தவறு செய்யவில்லை, அது அதன் கொள்கைகளை மேம்படுத்தட்டும், இல்லையெனில் பசியுள்ளவர் என்ன பாவம் செய்ய மாட்டார்?
तत्र उपस्थिताः सर्वेऽपि न्यायश्रोतारः अनेन न्यायेन लज्जिताः इव सन्तः स्वं स्वं दण्डराशिं तत्कालम् एव दत्त्वा न्यायालयस्य गरिमाणं रक्षितवन्तः इति।	அங்கு கூடியிருந்த நீதிமன்றக் கேட்போர் அனைவரும், இந்த நீதியைக் கண்டு வெட்கப்படுவது போல், உடனடியாக தங்களுக்குரிய அபராதத் தொகையைக் கொடுத்து, நீதிமன்றத்தின் கண்ணியத்தைக் காத்தனர்.
विकार्यताग्रस्तः सः किं कृतवान्?	மாறுதலால் வென்று அவன் என்ன செய்தான்?
चौर्यापराधे निगृहीतं तं न्यायाधीशः केन प्रकारेण दण्डितवान्?	திருட்டு குற்றத்துக்காக பிடிபட்ட அவரை நீதிபதி எந்த வகையில் தண்டித்தார்?
तं दण्डयन् सः कं कं दण्डितवान् किं च कथितवान्?	அவரைத் தண்டிப்பது, யாரையெல்லாம் தண்டித்தார், என்ன சொன்னார்?
किं न्यायाधीशस्य दण्डदानप्रकारः उचितः आसीत्?	நீதிபதியின் தண்டனை முறை பொருத்தமானதா?
व्यक्तिः चौर्यं कदा करोति?	ஒரு நபர் எப்போது திருடுகிறார்?
सन्तः इच्छाप्रपूरकाः	நீதிமான்கள் ஆசைகளை நிறைவேற்றுகிறார்கள்.
सन्तस्तु सन्ति सन्तो हि, स्वौदार्यं ते त्यजन्ति न। सद्यस्तत् कुर्वते सन्तो, यदिच्छन्ति ततो जनाः॥	நல்லொழுக்கமுள்ளவர்கள் உண்மையிலேயே நல்லொழுக்கமுள்ளவர்கள்; அவர்கள் தங்கள் பெருந்தன்மையை கைவிடுவதில்லை. நல்லொழுக்கமுள்ளவர்கள், மக்கள் விரும்புவதை உடனடியாகச் செய்வார்கள்.
आसीत् एकः महात्मा।	பெரிய ஆன்மா ஒன்று இருந்தது.
तस्य बहुः सम्मानः भवति स्म।	அவருக்கு மிகுந்த மரியாதை இருந்தது.
तस्य सेवायां स्थितस्य सेवकस्य इच्छा जागरिता यत् ईदृशः सम्मानः मम अपि भवेत्।	வேலைக்காரனான அவன் தன் சேவையில் ஈடுபட்டிருந்த வேளையில், அத்தகைய மரியாதை எனக்கும் இருக்க வேண்டும் என்ற ஆசை எழுந்தது.
"एकस्मिन् दिने यात्रार्थं प्रस्थितं महात्मानं सेवकः न्यवेदयत्- ""महाराज! सदा अहम् एव भवतः सेवां करोमि, मां स्ववेशं परिधाप्य कदाचित् भवान् अपि मम वेशं धृत्वा मम सेवां करोतु।"""	"ஒரு நாள், பெரிய ஆன்மா ஒரு பயணத்திற்குப் புறப்படும்போது,   அவனுடைய வேலைக்காரன் கீழ்ப்படிந்தான்: ""ஓ பெரிய ராஜா! நான் எப்போதும் உமக்குச் சேவை செய்கிறேன். நான் உனது ஆடையை அணிந்துகொண்டு, நீங்களும் சில சமயம் என் உடையை அணிந்து எனக்குச் சேவை செய்யுங்கள்."""
महात्मा तु महात्मा एव आसीत्।	ஆனால் அந்த மகா ஆன்மா உண்மையிலேயே பெரிய ஆன்மாவாக இருந்தது.
सेवकस्य मनः रक्षितुं सः तथैव कृतवान् यथा सेवकः ऐच्छत्।	அடியாரின் மனத்தைக் காக்க, அடியவர் விரும்பியபடியே செய்தார்.
एवं परिवर्तितवेशौ तौ काश्यां प्राप्तौ।	இவ்வாறு தோற்றம் மாறி இருவரும் காசிக்கு வந்து சேர்ந்தனர்.
तत्र एकः विद्वान् महात्मवेशधारिणम् ईश्वरस्य अस्तित्वस्य सम्बन्धे प्रश्नम् अपृच्छत्।	அங்கு, ஒரு கற்றறிந்த மனிதர், ஒரு பெரிய ஆத்மாவின் வேடத்தை அணிந்து, ஈஸ்வரன் (இறைவன்) இருப்பதைப் பற்றி ஒரு கேள்வி கேட்டார்.
महात्मवेशधारी धूर्तः आसीत्।	வஞ்சகர் பெரிய ஆன்மாவின் வேடம் அணிந்திருந்தார்.
"सः उत्तरम् अददात्- ""अत्र किम्? अस्य उत्तरं तु अयं मे सेवकः एव दास्यति"""	"அவர் பதில் அளித்தார்: ""என்ன சொல்ல இருக்கிறது? இங்கே என் வேலைக்காரன் பதில் சொல்வான்."""
"इति उक्त्वा सेवकम् आदिशत्- ""अस्य महाशयस्य जिज्ञासायाः उत्तरं तु दीयतां तावत्"""	இதைச் சொல்லிவிட்டு, 'இந்த உன்னதமானவரின் விசாரணைக்கு ஒரு பதில் சொல்லட்டும்' என்று வேலைக்காரனுக்குக் கட்டளையிட்டார்.
इति।	இவ்வாறு.
महात्मानं तस्य सेवकः किं न्यवेदयत्?	அவனுடைய வேலைக்காரன் பெரியவரிடம் (மகாத்மா) என்ன அறிக்கை செய்தான்?
महात्मा ततः किं कृतवान्?	மகான் (மகாத்மா) அப்போது என்ன செய்தார்?
विद्वान् महात्मवेशधारिणं कस्य सम्बन्धे प्रश्नम् अपृच्छत्?	ஒரு பெரிய ஆன்மாவின் (மகாத்மன்) வேடம் அணிந்தவர் யாரைப் பற்றி ஒரு கேள்வி கேட்டார்.
सः किम् उत्तरं दत्तवान्?	என்ன பதில் சொன்னார்?
सन्तः कीदृशाः भवन्ति?	என்ன வகையான உண்மையான பொருட்கள் (சத்) உள்ளன?
आज्ञा गुरूणां परिपालनीया	குருக்களின் கட்டளைகளைக் கடைப்பிடிக்க வேண்டும்.
गुर्वाज्ञापालने पृष्ठे, न स्थातव्यं कदाचन । अन्यथा जायते हानिः, यस्याः पूर्तिर्न सम्भवा ॥	ஆசிரியரின் கட்டளைக்குக் கீழ்ப்படிந்து ஒருபோதும் புறக்கணிக்கக் கூடாது. இல்லையெனில், இழப்பு எழுகிறது, அதை நிறைவேற்றுவது சாத்தியமில்லை.
महाभारतयुद्धस्थले एका गर्भिणी गृध्री अपि केनचित् बाणेन आहता न्यपतत्।	மகாபாரதப் போர்க்களத்தில் யாரோ ஒருவரின் அம்பினால் தாக்கப்பட்ட ஒரு கர்ப்பிணிப் பெண் கழுகு கூட கீழே விழுந்தது.
तस्याः उदरस्य विदरणेन चत्वारः अण्डाः बहिरागताः।	அவளது வயிற்றைக் கிழித்து நான்கு முட்டைகள் வெளியே வந்தன.
क्षतविक्षता गृध्री तु मृता एव।	கழுகு, காயம் மற்றும் கிழிந்த, இறந்தது போல் நல்லது.
