पुत्रः किम् इच्छति स्म?	மகனுக்கு என்ன வேண்டும்?
कारुण्यं मित्रता यस्य, चित्ते नित्यं विराजते । ईश्वरोऽपि ततस्तुष्टः, तदिच्छापूरको भवेत् ॥	எவனுடைய கருணையும் நட்பும் அவனது மனதில் (சிட்டா) தொடர்ந்து பிரகாசிக்கிறதோ, அவனுடைய இறைவன் (ஈஸ்வரன்) கூட அவனால் மகிழ்ச்சியடைந்து, அவனது விருப்பங்களை நிறைவேற்றுகிறான்.
एकः धार्मिकः सत्सङ्गानुरागी राजा आसीत्।	நல்லவர்களின் சகவாசத்தை விரும்பும் நீதியுள்ள அரசன் ஒருவன் இருந்தான்.
सः दूरदूरात् साधून् महात्मनः आहूय तेभ्यः ज्ञानोपदेशं शृणोति स्म, तान् धनादिप्रदानेन सम्मानयति स्म।	அவர், தொலைதூரத்தில் இருந்து நல்லொழுக்கமுள்ள பெரிய ஆன்மாக்களை வரவழைத்து, ஞானத்தில் அவர்களின் அறிவுரைகளைக் கேட்டு, செல்வம் மற்றும் பலவற்றைக் கொண்டு அவர்களைக் கௌரவித்தார்.
एकदा एकः महात्मा ततः दानदक्षिणाम् आदाय परावर्तमानः कैश्चित् दस्युभिः दृष्टः।	ஒருமுறை, ஒரு பெரியவர், அங்கிருந்து காணிக்கைகளையும் காணிக்கைகளையும் எடுத்துக்கொண்டு, அவர் திரும்பிக்கொண்டிருந்தபோது சில கொள்ளையர்களால் கண்டார்.
ते दस्यवः तस्य साधोः हस्तौ कर्तयित्वा दानदक्षिणाम् आच्छिद्य च पलायितवन्तः।	அந்த கொள்ளையர்கள் அந்த புனித மனிதரின் கைகளை வெட்டி, அவருடைய காணிக்கைகளையும் காணிக்கைகளையும் பறித்துக்கொண்டு ஓடிவிட்டனர்.
कतिपयमासानन्तरं सः एव महात्मा राज्ञा पुनरपि भगवच्चर्चायै आहूतः।	சில மாதங்களுக்குப் பிறகு, அந்தப் பெருமான் மீண்டும் பகவானைப் பற்றிய விவாதத்திற்கு அரசனால் அழைக்கப்பட்டார்.
अस्मिन् वारे दस्यवः अपि साधुवेषं धृत्वा तस्मिन् राजकीये सत्सङ्गे समुपस्थिताः।	இந்த நிகழ்வில், கொள்ளையர்கள் கூட, நல்ல மனிதர்களின் வேடத்தில், அந்த அரச சபையில் இருந்தனர்.
"तान् दृष्ट्वा कृत्तहस्तः महात्मा राजानं कथितवान् - ""महाराज! इमे साधवः मम ज्ञानिनः सुहृदः सन्ति। इमे अवश्यं सम्माननीयाः।"""	"அவர்களைப் பார்த்ததும், கைகள் வெட்டப்பட்ட பெரிய மனிதர் (மகாத்மா), அரசனிடம் கூறினார்: ""ஓ பெரிய ராஜா (மஹாராஜா)! இந்த துறவிகள் எனது ஞான நண்பர்கள். அவர்கள் நிச்சயமாக மதிக்கப்பட வேண்டும்."""
राजा तान् अपूजयत्, एकां बृहतीं धनपेटिकां च तेषाम् आवासे प्रापयितुं स्वकीयम् एकं कर्मचारिणं प्रेष्तवान्।	அரசன் அவர்களைக் கௌரவித்து, ஒரு பெரிய பொக்கிஷப் பெட்டியை அவர்கள் வசிப்பிடத்திற்குக் கொண்டு வருமாறு தன் வேலையாட்களில் ஒருவனை அனுப்பினான்.
"मार्गे कर्मचारी तान् साधून् अपृच्छत् - ""कथ्यताम् महात्मा भवतः कथं जानाति? कथम् असौ भवद्भ्यः इदं धनम् अदापयत्?"""	"சாலையில், அதிகாரி சந்நியாசிகளிடம் கேட்டார்: ""சொல்லுங்கள், பெரிய ஆத்மா உங்களை எப்படி அறிவார்? இந்த செல்வத்தை அவர் எப்படி உங்களுக்கு வழங்கினார்?"""
"साधवः उदतरन् - ""सः मृत्युमुखे आसीत्। वयम् एव तं मृत्योः अमोचयाम। हस्तौ एव तस्य कर्तितौ अभवताम्। अतः एव उपकारकान् अस्मान् सः महाराजेन सममानयत्।"""	"நல்லவர்கள் பதிலளித்தனர்: ""அவர் மரணத்தின் தாடையில் இருந்தார் (ம்ருத்யுமுகே ஆசித்). நாமே அவரை மரணத்திலிருந்து மீட்டோம் (ம்ருத்யோ அமோசயமா) அவரது கைகள் (ஹஸ்தௌ) துண்டிக்கப்பட்டன. எனவே, அவர் பெரிய மன்னருக்கு நிகரான எங்களைக் கௌரவித்தார்."""
