slno,refno,text,en_dmt,ta_gmt
52,130-stories_104-130fp_23,तृतीयदिने राजा पुनः तं युवकं सभायाम् आकार्य ततः पूर्वगीताम् एव गीतिं श्रुत्वा पुनरपि  तदेव फलं तस्मै दत्तवान्।,"On the third day, the king again summoned that youth into the assembly, and after hearing the same song as before, again gave him that same fruit.","மூன்றாம் நாள், அரசன் அந்த இளைஞனை மீண்டும் சபைக்கு வரவழைத்து, அதே பாடலைக் கேட்டபின், மீண்டும் அதே பழத்தை அவனுக்குக் கொடுத்தான்."
53,130-stories_104-130fp_24,अधुना तु तत् फलं तस्य हस्ततः भूमौ निपत्य भग्नम् अभवत्।,"But now, that fruit fell from his hand to the ground and was broken.",ஆனால் இப்போது அந்த பழம் அவன் கையிலிருந்து தரையில் விழுந்து உடைந்தது.
54,130-stories_104-130fp_24,सर्वाणि देदीप्यमानानि बहुमूल्यानि रत्नानि बहिर्निःसृत्य सर्वाम् अपि सभां विस्मयवतीं कृतवन्ति।,"All the radiant, highly valuable jewels emerged and astonished the entire assembly.","அனைத்து கதிரியக்கமான, மிகவும் மதிப்புமிக்க நகைகள் வெளிவந்து முழு சபையையும் வியப்பில் ஆழ்த்தியது."
55,130-stories_104-130fp_24,सर्वेपि सभ्याः राज्ञः औदार्यं  भृशम् अभिनन्दितवन्तः।,All the members of the assembly greatly praised the king's generosity.,பேரவை உறுப்பினர்கள் அனைவரும் அரசனின் பெருந்தன்மையை வெகுவாகப் பாராட்டினர்.
56,130-stories_104-130fp_24,राजा तु 'युवकगीतेः सार्थकता एव अनेन प्रमाणिता',"But the king [thought], ""Indeed, the meaningfulness of the youth's song has been proven by this.""","ஆனால் அரசன், ""உண்மையில், இளைஞர்களின் பாடலின் பொருள் இதன் மூலம் நிரூபிக்கப்பட்டுள்ளது"" என்று நினைத்தார்."
57,130-stories_104-130fp_24,इति उक्त्वा तम् अपि युवकम् आत्मनः एकविश्वासपात्रसेवकरूपे स्वीकृतवान् इति।,"Having said this, he accepted that youth also as one of his trusted servants.","இதைச் சொல்லி, அந்த இளைஞனையும் தன் நம்பிக்கைக்குரிய வேலையாட்களில் ஒருவராக ஏற்றுக்கொண்டார்."
58,130-stories_104-130fp_27,राज्ञा राजसभायाम् आहूतः निर्धनः किं गीतवान् ?,What did the poor man sing when summoned by the king in the royal assembly (rājasabhā)?,அரச சபையில் (ராஜசபா) அரசரால் அழைக்கப்பட்ட போது அந்த ஏழை என்ன பாடினான்?
59,130-stories_104-130fp_28,राजा तस्मै कतिवारं फलं दत्तवान् ?,How many times did the king give him the fruit?,அரசன் எத்தனை முறை பழம் கொடுத்தான்?
60,130-stories_104-130fp_29,फले कानि रक्षितानि आसन् ?,What fruits were protected?,என்ன பழங்கள் பாதுகாக்கப்பட்டன?
61,130-stories_104-130fp_30,राजा युवकं सेवकरूपे किं स्वीकृतवान्‌ ?,Why did the king accept the youth in the form of a servant?,அரசன் இளைஞனை ஏன் வேலைக்காரன் வடிவில் ஏற்றுக்கொண்டான்?
62,130-stories_104-130fp_31,इयं कथा कं सन्देशं ददाति ?,What message does this story give?,இந்தக் கதை என்ன செய்தியைக் கொடுக்கிறது?
63,130-stories_34-130fp_16,सः कीदृशः हिन्दुः?,What kind of Hindu is he?,அவர் எப்படிப்பட்ட இந்து?
64,130-stories_34-130fp_17,"मिलन्ति यद्‌गृहे नैव, गीतारामायणादयः। स किं सनातनी हिन्दुः, शिखासूत्रविवर्जितः?॥","In whose house the Gītā, Rāmāyaṇa, etc., are never recited, is he a traditional Hindu, devoid of the hair tuft and sacred thread?","யாருடைய வீட்டில் கீதை, ராமாயணம், முதலியவை ஒருபோதும் ஓதப்படுவதில்லை, அவர் ஒரு பாரம்பரிய இந்து, முடி கொட்டை மற்றும் புனித நூல் இல்லாதவரா?"
65,130-stories_34-130fp_18,मम नगरान्तरे गमनम् अभूत्।,I went to another city.,நான் வேறு ஊருக்குச் சென்றேன்.
66,130-stories_34-130fp_18,तत्र मया भाषणं देयम् आसीत्।,"There, I had to give a speech.",அங்கு நான் ஒரு உரை நிகழ்த்த வேண்டியிருந்தது.
67,130-stories_34-130fp_18,सामग्रीसङ्‌कलनार्थं मम तदा गीतारामायणमहाभारतादिग्रन्थानाम् आवश्यकता आपतिता।,"For the purpose of collecting materials, I then needed books such as the Gītā, Rāmāyaṇa, and Mahābhārata.","பொருட்கள் சேகரிக்கும் நோக்கத்திற்காக, கீதை, ராமாயணம், மகாபாரதம் போன்ற புத்தகங்கள் அப்போது எனக்கு தேவைப்பட்டன."
68,130-stories_34-130fp_18,"अहं यस्य अतिथिः आसं, स सनातनधर्मसभायाः कर्मठः सदस्यः अवर्तत।","I was his guest, and he was an active member of the Sanātana Dharma Assembly.","நான் அவருக்கு விருந்தினராக இருந்தேன், அவர் சனாதன தர்ம சபையின் தீவிர உறுப்பினராக இருந்தார்."
69,130-stories_34-130fp_18,अहं स्वीयाम् आवश्यकतां तस्य सम्मुखे उपस्थापितवान्।,I presented my need before him.,என் தேவையை அவர் முன் முன்வைத்தேன்.
70,130-stories_34-130fp_18,"मम अतीव आश्चर्यम् आसीत्, तस्य संस्कृतज्ञानं तु दूरे तिष्ठतु, इमे ग्रन्थाः तस्य गृहे न आसन्।","I was very surprised; let alone his knowledge of Sanskrit, these books were not even in his house.","நான் மிகவும் ஆச்சரியப்பட்டேன்; சமஸ்கிருத அறிவு ஒருபுறம் இருக்க, இந்தப் புத்தகங்கள் அவருடைய வீட்டில் கூட இல்லை."
71,130-stories_34-130fp_18,"अहम् आत्मीयां वेदनां स्वकीये भाषणे व्यक्तां कृतवान् यत् ""सः कीदृशः सनातनधर्मावलम्बी हिन्दुः, यस्य गृहे परमपावनाः गीतारामायणमहाभारतादिग्रन्थाः अपि न मिलन्ति। यः सन्ध्योपासनां न करोति, यः गायत्रीमन्त्रं नित्यं न जपति किं सः अपि हिन्दुः? हन्त! असंस्कृतज्ञाः अपि ब्राह्मणाः स्वनाम्ना सह पण्डितः. चतुर्वेदी, त्रिवेदी, त्रिपाठी, अग्निहोत्री, शास्त्री, आचार्यः इत्यादि योजयित्वा किं शिष्टजनोचितं कर्म कुर्वन्ति?""","I expressed my own pain in my speech, saying, ""What kind of follower of the eternal religion (*sanātana-dharma*) is he, in whose house even the supremely sacred texts like the *Gītā*, *Rāmāyaṇa*, *Mahābhārata*, etc., are not found?  He who does not perform the twilight worship (*sandhyopāsanā*), who does not constantly chant the *Gāyatrī mantra*, is he also a Hindu? Alas! Even uncultured *brāhmaṇas*, adding *paṇḍita*, *caturvedī*, *trivedī*, *tripāṭhī*, *agnihotrī*, *śāstrī*, *ācārya*, etc., to their names, do they perform actions befitting respectable people?""","எனது உரையில் எனது சொந்த வலியை வெளிப்படுத்தினேன், ""சனாதன தர்மத்தை (*சனாதன-தர்மம்*) பின்பற்றுபவர் என்ன வகையானவர், யாருடைய வீட்டில் *கீதை*, *ராமாயணம்*, *மஹாபாரதம்*,* *மகாபாரதம்* போன்ற உன்னதப் புனித நூல்கள் கூட யாருடைய வீட்டில் உள்ளனவோ, யார் யாரை வழிபடவில்லையோ? *காயத்ரி மந்திரத்தை* தொடர்ந்து ஜபிப்பதில்லை, அவரும் ஒரு இந்துவா ? அவர்கள் மரியாதைக்குரிய நபர்களுக்கு ஏற்ற செயல்களைச் செய்கிறார்களா?"""
72,130-stories_34-130fp_18,इति।,Thus.,இவ்வாறு.
73,130-stories_34-130fp_21,अहं यस्य अतिथिः आसं सः कः आसीत्?,Who was he whose guest I was?,நான் யாருடைய விருந்தாளியாக இருந்தேன்?
74,130-stories_34-130fp_22,अहं कां स्वीयाम् आवश्यकतां तस्य सम्मुखे उपस्थापितवान्?,What personal need did I present before him?,அவர் முன் நான் என்ன தனிப்பட்ட தேவையை முன்வைத்தேன்?
75,130-stories_34-130fp_23,अहं स्वकीये भाषणे कीदृशीम् आत्मवेदानां व्यक्तां कृतवान्?,How did I make clear the self-knowledge in my own speech?,எனது சொந்த பேச்சில் சுய அறிவை நான் எவ்வாறு தெளிவுபடுத்தினேன்?
76,130-stories_34-130fp_24,"यद्‌गृहे गीतारामायणादयः न मिलन्ति, सः किं न भवति?","What does it not become, that in whose house the Gītā, Rāmāyaṇa, and so forth, are not found?","கீதை, ராமாயணம் போன்றவை யாருடைய வீட்டில் இல்லை என்றால் என்ன ஆகாது?"
77,130-stories_34-130fp_25,इयं कथा कां प्रेरणां ददाति?,What inspiration does this story give?,இந்தக் கதை என்ன உத்வேகத்தை அளிக்கிறது?
78,130-stories_125-130fp_16,हरिकथाश्रवणलाभः,The benefit of hearing the stories of Hari.,ஹரியின் கதைகளைக் கேட்டதின் பலன்.
79,130-stories_125-130fp_17,"हरिकथा निरर्था न, श्रोतव्या सा निरन्तरम् । श्रवणं सार्थकं तस्याः, व्यर्थं नैव कदाचन ॥",Stories of Hari are not meaningless; they should be heard constantly. Listening to them is meaningful; it is never useless.,ஹரியின் கதைகள் அர்த்தமற்றவை அல்ல; அவை தொடர்ந்து கேட்கப்பட வேண்டும். அவற்றைக் கேட்பது அர்த்தமுள்ளது; அது ஒருபோதும் பயனற்றது.
