slno,refno,text,en_dmt,ta_gmt
18,astang_hriday_1_27-73,गुरु-मन्द-हिम-स्निग्ध-श्लक्ष्ण-सान्द्र-मृदु-स्थिराः। गुणाः ससूक्ष्म-विशदा विंशतिः सविपर्ययाः॥,"""Heavy, slow, cold, unctuous, smooth, dense, soft, and stable [are qualities]. The qualities, including subtle and dry [and their opposites], are twenty [in total].  """,
19,astang_hriday_1_27-77,कालार्थकर्मणां योगो हीन-मिथ्याSतिऽमात्रकः। सम्यग्योगश्च विज्ञेयो रोगाऽऽरोग्यैककारणम्॥,"""The connections of time, object, and action are deficient, wrong, and excessive. And the proper connection should be known as the sole cause of disease and health respectively. (सम्यक्-योगश् च विज्ञेयो रोग-आरोग्य-ऐककारणम्)  """,
20,astang_hriday_1_27-81,"रोगस्तु दोषवैषम्यं, दोषसाम्यमरोगता। निजागन्तुविभागेन तत्र रोगा द्विधा स्मृताः॥","""Disease is indeed the imbalance of the humors; balance of the humors [is] health (रोगः तु दोष-वैषम्यं, दोष-साम्यम् अरोगता). Therein, diseases are considered twofold due to their division into endogenous (nija) and exogenous (āgantu) (निजागन्तुविभागेन तत्र रोगा द्वि-धा स्मृताः).  """,
21,astang_hriday_1_27-85,तेषां कायमनोभेदादधिष्ठानमपि द्विधा। रजस्तमश्च मनसो द्वौ च दोषावुदाहृतौ॥,"""On account of the distinction between body (kāya) and mind (manas), their location (adhiṣṭhāna) is also twofold. Passion (rajas) and delusion (tamas) are mentioned as the two mental disorders (doṣau) of the mind (manas).  """,
22,astang_hriday_1_27-89,दर्शनस्पर्शनप्रश्नैः परीक्षेत च रोगिणम्। रोगं निदान-प्राग्रूपलक्षणोपशयाऽऽप्तिभिः॥,"""[The physician] should examine the patient by observation, palpation, and questioning. [He should diagnose] the disease by cause (nidāna), premonitory symptoms (prāgrūpa), symptoms (lakṣaṇa), response [to treatment] (upaśaya), and outcome (āpti).  """,
23,astang_hriday_1_27-93,भूमिदेहप्रभेदेन देशमाहुरिह द्विधाः जाङ्गलं वातभूयिष्ठमनूपं तु कफोल्वणम्॥,"""They say that a region (deśa) here is of two kinds, according to the difference between land (bhūmi) and body (deha): the arid land (jāṅgala) is dominated by wind (vāta), while the marshy land (anūpa) is abundant in phlegm (kapha).  """,
24,astang_hriday_1_27-97,साधारणं सममलं त्रिधा भूदेशमादिशेत्। क्षणादिर्व्याध्यवस्था च कालो भेषजयोगकृत्॥,"""[And] ordinary land [has] balanced humors. Thus, one may define a tract of land as threefold (साधारणं समं मलं त्रिधा भू-देशम् आदिशेत् ।). Time, starting with the moment [kṣaṇa], and the state of the disease determine the suitable time for administering a remedy (क्षणादिर्व्याध्यवस्था च कालो भेषजयोगकृत्).  """,
25,astang_hriday_1_27-101,शोधनं शमनं चेति समासादौषधं द्विधा। शरीरजानां दोषाणां क्रमेण 'परमौषधम्'॥,"""A medicine is broadly classified into two [types]: purificatory (*śodhana*) and palliative (*śamana*). The best medicine for somatic disorders, administered according to the [prescribed] order of the [affected] *doṣas*, is...  """,
26,astang_hriday_1_27-105,वस्तिर्विरेका वमनं तथा तैलं घृतं मधु। धीधैर्यात्मादिविज्ञानं 'मनोदोषौषधं' परम्॥,"""Enema, purgation, and emetics [include] oil, ghee (ghṛta), and honey (madhu). Intelligence, fortitude, and self-knowledge etc. are the best medicines for mental disorders (manodoṣauṣadhaṃ).  """,
27,astang_hriday_1_27-109,"भिषकग् द्रव्याण्युपस्थाता रोगी पादचतुष्टयम्। चिकित्सितस्य निर्दिष्टं, प्रत्येकं तच्चतुर्गुणम्॥","""A physician, medicines (dravyāṇi), an attendant (upasthātā), and the patient (rogī) [constitute] the four components (pādacatustayam). [These are] specified for treatment, each of which is fourfold.  """,
28,astang_hriday_1_27-113,दक्षस्तीर्थात्तच्शास्त्रार्थो दृष्टकर्मा शुचिर्भिषक। बहुकल्पं बहुगुणं सम्पन्नं योग्यमौषधम्॥,"""The physician [should be]: skillful, learned in medical science from a teacher, experienced in practice, and pure (dakṣas tīrthāt tacchāstrārtho dṛṣṭakarmā śucir bhiṣak). The medicine [should be]: versatile, possessing multiple qualities, perfect, and suitable (bahukalpaṃ bahuguṇaṃ sampannaṃ yogyam auṣadham).  """,
29,astang_hriday_1_27-117,अनुरक्तः शुचिर्दक्षो बुद्धिमान् पऽरिचारकः। आढ्यो रोगी भिषग्वश्यो ज्ञापकः सत्त्ववानपि॥,"""The attendant [should be]: devoted (*anuraktaḥ*), pure (*śuciḥ*), skillful (*dakṣo*), and intelligent (*buddhimān*). The patient [should be]: wealthy (*āḍhyo*), obedient to the physician (*bhiṣagvaśyo*), communicative (*jñāpakaḥ*), and courageous (*sattvavān*).  """,
30,astang_hriday_1_27-121,सर्वौषधक्षमे देहे यूनः पुंसो जितात्मनः। अमर्मगोऽल्पहेत्वग्ररूपरूपोऽनुपद्रवः॥ अतुल्यदूष्यदेशर्तुप्रकृतिः पादसम्पदि। ग्रहेष्वनुगुणेष्वेकदोषमार्गो नवः 'सुखः'॥,"""[Considering the case] when the body of a young, self-controlled man is tolerant of all medicines, [and the disease] does not affect a vital spot, [is] of mild cause, indistinct symptoms, and without complications;  [and when] the humours, place, season, and constitution are not excessively vitiated, [and the patient is] in good condition;  and the planets are favorable, [and the disease affects] a single humour and channel, and is recent, [then it is] easy to cure. (ग्रहेषु अनुगुणेषु एकदोषमार्गो नवः सुखः)  """,
31,astang_hriday_1_27-127,शस्रादिसाधनः कृच्छ्रः सङ्करे च ततो गदः। शेषत्वादायुषो 'याप्यः' पथ्याभ्यासाद्विपरोयये॥,"""Kṛcchra [disease] caused by weapons, etc., and then *gada* [disease] due to mixed causes, are *yāpya* [incurable] because of the remaining lifespan, but curable by the practice of wholesome things and the reverse [unwholesome things].  """,
32,astang_hriday_1_27-131,अनुपक्रम एव स्यात्स्थितोऽत्यन्तविपर्यये। औत्सुक्य-मोहाऽरतिकृद् दृष्टरिष्टोऽक्षनाशनः॥,"""There would be no beginning, as it remains in utter perversity. Causing eagerness, delusion, and discontent, it is seen as inauspicious, and destructive of the dice.  """,
33,astang_hriday_1_27-135,त्यजेदार्तं भिषग्भूपैर्द्विष्टं तेषां द्विषं द्विषम्। हीनोपकरणं व्यग्रमविधेयं गतायुषम्॥ चण्डं शोकातुरं भीरुं कृतघ्नं वैद्यमानिनम्। तन्त्रस्यास्य परं चातो वक्ष्यतेऽध्यायसङ्ग्रहः॥,"""[A physician] should abandon a patient who is tormented, hated by kings, who hates them, and is hateful. [He should also abandon a patient who is]: lacking resources, restless, disobedient, nearing the end of his life. Furious, grief-stricken, fearful, ungrateful, and considers himself a physician. Hereafter, moreover, a summary of the chapters of this treatise will be presented. (तन्त्रस्यास्य परं वातो वक्ष्यते ऽध्यायसंग्रहः)  """,
34,astang_hriday_1_27-141,आयुष्कामदिनर्त्वीहारोगाऽनुत्पादनद्रवाः। अन्नज्ञानाऽन्नसंरक्षामात्राद्रव्यरसाश्रयाः॥ दोषादिज्ञानतद्भेदतच्चिकित्साद्युपक्रमाष्H। शुद्ध्यादिस्नेहन-स्वेद-रेकाऽऽस्थापन-नावनम्॥ धूम-गण्डूष-दृक्सेक-तृप्ति-यन्त्रक-शस्त्रकम्। सिरावधिः शल्यविधिः शस्त्रक्षाराग्निकर्मिकौ॥ सूत्रस्थानमिमेऽध्याया 'त्रिंशत्' 'शरीरमुच्यते'। गर्भावक्रन्तितद्व्यापदङ्गमर्मविभागिकम्॥,"""[These include:] 1. The desire for long life (āyuṣkāma), 2-3. Daily (dina) and seasonal (ṛtu) regimens, 4. The prevention of diseases (āroga-anutpādana), 5. Fluids (dravāḥ), 6. Knowledge of food (anna-jñāna), 7. Protection of food (anna-saṃrakṣā), 8. Dosage (mātrā), 9. Substances (dravya), 10. Support of taste (rasāśrayāḥ), 11. Knowledge of the doṣas (doṣādi-jñāna), etc., 12. Their types (tad-bheda), 13. Beginning with their treatment (tac-cikitsā-ādi-upakramāḥ), 14. Purification (śuddhi-ādi), 15. Oleation (snehana), 16. Sudation (sveda), 17. Purgation (reka), 18. Āsthāpana enema, 19. Nasal administration (nāvanam), 20. Smoke (dhūma), 21. Gargling (gaṇḍūṣa), 22. Eye irrigation (dṛk-seka), 23. Satisfaction (tṛpti), 24. Use of instruments (yantraka), 25. Use of surgical instruments (śastraka), 26. Vein puncture (sirāvadhiḥ), 27. Surgical procedures (śalya-vidhiḥ), 28. Surgical and alkali procedures (śastra-kṣāra), 29. Cauterization (agni-karmikau). These thirty chapters are called \""Sūtrasthāna.\"" [Chapters on:] 30. Garbhāvakrānti (conception), 31. Its complications (tad-vyāpad), 32. Division of limbs (aṅga-marmavibhāgikam).  """,
35,astang_hriday_1_27-151,विकृतिर्दुतजं 'षष्ठं' 'निदानं सार्वरोगिकम्'। ज्वारासृक्_श्वासयक्ष्मादिमदाद्यर्शोऽतिसारिणाम्॥,"""*Vikṛti* (abnormality) is quickly produced; it is the 'sixth' cause, affecting all diseases.  [It causes] fever, blood disorders, dyspnea, consumption, intoxication, piles, and diarrhea.  """,
36,astang_hriday_1_27-155,मूत्राघातप्रमेहाणां विद्रध्याद्युदरस्य च पाण्डुकुष्ठानिलार्तानां वातास्रस्य च 'षोडश'॥,"""[It is effective] for urinary retention, diabetes, abscesses, abdominal diseases, jaundice, skin diseases, those afflicted by *anila*, and gout.  """,
37,astang_hriday_1_27-159,चिकित्सितं ज्वरे रक्ते कासे श्वासे च यक्ष्मणि। वमौ मदात्ययेऽर्शः सु विशि द्वौ द्वौ च मूत्रिते॥ विद्रधौ गुल्म्ऽअजठरपाण्डुशोफविसर्पिषु। कुष्ठश्वित्रानिलव्याधिवातास्रेषु चिकित्सितम्॥ द्वाविंशति रिमेऽध्यायाः कल्पसिद्धिरतः परम्। कल्पो वमेर्विरेकस्य तत्सिद्धिर्बस्तिकल्पना॥,"""Treatment for fever, bleeding disorders, cough, dyspnea, and consumption; for vomiting, alcohol intoxication, hemorrhoids, and two kinds each of urinary diseases; for boils, abdominal lump, dropsy with an abnormal condition of the abdomen (udara), anemia, swellings, and erysipelas; [and for] skin diseases, leucoderma, diseases due to vāta, and gout is [described herein].  These are twenty-two chapters; after this [comes] the success of the *kalpa* section. The *kalpa* [section deals with] emetics, purgation, its success, and the formulation of enemas.  """,
38,astang_hriday_1_27-167,"सिद्धिर्बस्त्यापदां, षष्ठो द्रव्यकल्पोऽत उत्तरम्। बालोपचारे तद्व्याधौ तद्ग्रहे, द्वौ च भूतगे॥","""Success in treating diseases of the bladder; sixthly, the chapter on medicinal formulations, then after that, the care of children, their diseases, and their seizures; and two [chapters] on spirit possession.  """,
39,astang_hriday_1_27-171,"उन्मादेऽथ स्मृतिभ्रंशे, द्वौ द्वौ वर्त्मसु सन्धिषु। दृक्तमोलिङ्गनाशेषु त्रयो, द्वौ द्वौ च सर्वगे॥ कर्णनासामुखशिरोव्रणे, भङ्गे भगन्दरे। ग्रन्थ्यादौ क्षुद्ररोगेषु गुह्यरोगे पृथग्द्वयम्॥ विषे भुजङ्गे कीटेषु मूषकेषु रसायने। चत्वारिंशोऽनपत्यानामध्यायो बीजपोषणः॥","""In insanity and loss of memory, two [drops should be applied] in the corners of the eyes. Three [drops] in *dṛṣṭatama*, *ūlīṅganāśa*, two each in *sarvaga*. In wounds of the ears, nose, mouth, and head, in fractures, in fistula-in-ano, In glandular diseases and other minor diseases, and separately two in venereal diseases. In [cases of] poison, snakes, insect bites, rats, and [as a tonic] *rasāyana*, The fortieth chapter (is about) the strengthening of potency [the semen] of the childless.  """,
40,astang_hriday_1_27-179,इत्यध्यायशतं विंशिं षड्_भिः स्थानैरुदीरितम्।।48 1/2।।,"""Thus, one hundred and twenty chapters have been expounded in six sections. (इत्य् अध्यायशतं विंशं षड्भिः स्थानैर् उदीरितम्)  """,
41,astang_hriday_1_27-181,इति श्रीवैद्यपतिसिंहगुप्तसूनुवाग्भटवरचितायाम- ष्टाङ्गहृदयसंहितायां सूत्रस्थाने आयुष्का- मीयो नाम प्रथमोऽध्यायः॥,"""Thus, in the Aṣṭāṅgahṛdayasaṃhitā, composed by Śrī Vaidyapati Siṃhagupta's son, Vāgbhaṭa, in the Sūtrasthāna, the first chapter is named Āyuṣkāmīya.  """,
42,astang_hriday_1_27-186,2 द्वितीयोऽध्यायः2 अथातो दिनचर्याध्यायं व्याख्यास्यामः। इति ह स्माहुरात्रेयादयो महर्षयः।,"""The second chapter: Now, therefore, we shall explain the chapter on the conduct during the day. Thus spoke the great sages Ātreya, etc.  """,
43,astang_hriday_1_27-190,ब्रह्मे मुहूर्त उत्तिष्ठेत्स्वस्थो रक्षार्थमायुषः। शरीरचिन्तां निर्वर्त्य कृतशौचविधिस्ततः॥ अर्कन्यग्रोधखदिरकरञ्जककुभादिजम्। प्रातर्भुक्त्वा च मुद्वग्रं कषायकटुतिक्तकम्॥ कनीन्यग्रसमस्थूलं प्रगुणं द्वादशाङ्गुलम्। भक्षयेद्दन्तपवनं दन्तमांसान्यबाधयन्॥,"""One should rise during the *brāhma* moment, being healthy, for the sake of protecting one's life. Having attended to bodily needs and performed purification rites thereafter, And having chewed in the morning a soft twig from the *arka*, *nyagrodha*, *khadira*, *karañja*, *kakubha*, etc., [One should use] a twig that is neither too thin nor too thick, straight, and twelve *aṅgulas* long, and chew it without harming the teeth or gums.  """,
44,astang_hriday_1_27-198,नाद्यादजीर्णवमथुश्वासकासज्वराऽर्दिती। तृष्णाऽऽस्यापाकहृन्नेत्रशिरः कर्णमयी च तत्॥,"""One should not eat if afflicted with indigestion, vomiting, asthma, cough, fever, or hemicrania, or if suffering from thirst, diseases of the mouth, heart, eyes, head, or ears.  """,
45,astang_hriday_1_27-202,सौवीरमञ्जनं नित्यं हितमक्ष्णोस्ततो भजेत्। चक्षुस्तेजोमयं तस्य विशेषात् श्लेष्मतो भयम्॥,"""One should daily apply the collyrium of *sauvīrañjana*, which is beneficial to the eyes. After that, one should resort to it, as the eye, full of *tejas*, is especially in danger from *śleṣma*.  """,
46,astang_hriday_1_27-206,योजयेत्सप्तरात्रेऽस्मात्स्राव(1)णार्थं रसाञ्जनम्। ततो नावन-गण्डूष-धूम-ताम्बूल-भाग्भवेत्॥,"""One should administer *rasāñjana* for the purpose of inducing discharge for seven nights. Thereafter, one should partake of nasal administrations, gargles, fumigation, and betel quid.  """,
47,astang_hriday_1_27-210,ताम्बूलं क्षतपित्तास्ररूक्षोत्कुपितचक्षुषाम्। विषमूर्च्छामदार्तानामपथ्यं शोषिणामपि॥,"""Betel is unwholesome for those affected with pulmonary rupture, hemorrhage, and eyes irritated by dryness, as well as for those distressed by poison, fainting, or intoxication, and for those who are emaciated.  """,
48,astang_hriday_1_27-214,"अभ्यङ्ग माचरेन्नित्यं, स जराश्रमवातहा। दृष्टिप्रसादपुष्ट्यायुः स्वप्नसुत्वक्त्वदार्ढ्यकृत्॥","""One should regularly practice massage, as it alleviates old age, exertion, and vāta. It enhances eyesight, promotes nourishment, increases longevity, induces good sleep, improves skin complexion, and strengthens the skin.  """,
49,astang_hriday_1_27-218,शिरः श्रवणपादेषु तं विशेषेण शीलयेत्। वर्ज्योऽभ्यङ्गः कफग्रस्तकृतसंशुद्ध्यजीर्णिभिः॥,"""He should especially practice it on the head, ears, and feet. Ointment is to be avoided by those afflicted with *kapha*, those who have undergone purification procedures, and those suffering from indigestion.  """,
50,astang_hriday_1_27-222,लाघवं कर्मसामर्थ्यं दीप्तोऽग्निर्मेदसः क्षयः। विभक्तघनगात्रत्वं व्यायामादुपजायते॥,"""Lightness, power of action, a stimulated digestive fire (dīpto’gnir), reduction of fat, and distinct, firm limbs arise from exercise.  """,
51,astang_hriday_1_27-226,वातपित्तामयी बालो वृद्धोऽजीर्णी च तं त्यजेत्। अर्धशक्त्या निषेव्यस्तु बलिभिः स्निग्धभोजिभिः॥,"""One suffering from wind and bile disorders, a child, an old man, and one suffering from indigestion should avoid it. But those who are strong and eat unctuous food should partake of it with half their strength.  """,
52,astang_hriday_1_27-230,"शीतकाले वसन्ते च, मन्दमेव ततोऽन्यदा। तं कृत्वाऽनुसुखं देहं मर्दयेच्च समन्ततः॥","""In the cold season and spring, [it should be done] moderately, and at other times, less so. Having finished it, one should massage the body all over to one's satisfaction.  """,
53,astang_hriday_1_27-234,तृष्णा क्षयः प्रतमको रक्तपित्तं श्रमः क्लमः। अतिव्यायामतः कासो ज्वरश्छर्दिश्च जायते॥,"""Thirst, consumption, dyspnea, hemorrhage, fatigue, [and] exhaustion; from excessive exercise, cough, fever, and vomiting arise.  """,
54,astang_hriday_1_27-238,व्यायामजागराध्वस्रीहास्यभाष्यादिसाहसम्। गजं सिंह इवाकर्षन् भजन्नति विनश्यति॥,"""An elephant, enjoying and excessively indulging in the daring of exercise, wakefulness, travel, wine, laughter, speech, etc., perishes like a lion dragging [it].  """,
55,astang_hriday_1_27-242,उद्वर्तनं कफहरं मेदसः प्रविलायनम्। स्थिरीकरणमङ्गानां त्वक्प्रसादकरं परम्॥,"""*Udvartana* alleviates *kapha* and dissolves fat. [It] imparts firmness to the limbs, [and] clears and smooths the skin.  """,
56,astang_hriday_1_27-246,दीपनं वृष्यमायुष्यं 'स्नान' मूर्जाबलप्रदम्। कण्डूमलश्रमस्वेदतन्द्रातृड्_दाहपाप्मजित्॥,"""Bathing is appetizing, aphrodisiac, life-giving, and provides energy and strength.  [It] conquers itching, dirt, exhaustion, sweat, drowsiness, thirst, burning sensation, and evil.  """,
57,astang_hriday_1_27-250,उष्णाम्बुनाऽधः कायस्य परिषेको बलावहः। तेनैव तूत्तमाङ्गस्य बलह्रृत्केशचक्षुषाम्॥,"""Sprinkling the lower part of the body with warm water is strength-giving. Douching the head with it, however, is detrimental to the strength of the hair and eyes.  """,
58,astang_hriday_1_27-254,स्नानमर्दितनेत्रास्यकर्णरोदातिसारिषु। आध्यमानपीनसाजीर्णभुक्तवत्सु च गर्हितम्॥,"""Bathing is prohibited for those suffering from facial paralysis, diseases of the eyes, mouth, ears, and diarrhea, as well as for those suffering from flatulence, colds, indigestion, or who have just eaten.  """,
59,astang_hriday_1_27-258,जीर्णे हितं मितं चाद्यान्न वेगानीरयेद्बलात्। न वेगितोऽन्यकार्यः स्यान्नाजित्वा साध्यमामयम्॥,"""One should eat wholesome and moderate food when [the previous meal] is digested. One should not forcefully suppress natural urges. One should not engage in any other activity [without attending to the urges], nor [should one do so] without having recovered from a curable illness.  """,
60,astang_hriday_1_27-262,सुखार्थाः सर्वभूतानां मताः सर्वाः प्रवृत्तयः। सुखं च न विना धर्मात्तस्माद्धर्मपरो भवेत्॥,"""All activities of all beings are considered to be for the purpose of happiness. And there is no happiness without virtue (dharma), therefore one should be devoted to virtue (dharma).  """,
61,astang_hriday_1_27-266,भक्त्या कल्याणमित्राणि सेवेतेतरदूरगः। हिंसास्तेयाऽन्यथाकामं पैशुन्यं परुषानृते॥,"""One should serve good friends with devotion, keeping away from others. Injury, theft, unchaste behavior, slander, harshness, and falsehood.  """,
62,astang_hriday_1_27-270,सम्भिन्नाऽलापं व्यापादमभिध्या-दृग्विपर्ययम्। पापं कर्मेति दशधा कायवाङ्मानसैस्त्यजेत्॥,"""One should abandon the ten kinds of sinful actions—divisive speech, ill will, covetousness, and wrong view—through body, speech, and mind.  """,
63,astang_hriday_1_27-274,अवृत्ति-व्याधि-शोकाऽऽर्ताननुवर्तेत शक्तितः। आत्मवत्सततं पश्येदपि कीटपिपीलिकम्॥,"""One should support, to the best of one's ability, those afflicted by lack of livelihood (avṛtti), disease (vyādhi), and grief (śoka). One should always regard even insects and ants as oneself (ātma-vat).  """,
64,astang_hriday_1_27-278,अर्चयेद् देव-गो-विप्र-वृद्ध-वैद्य-नृपाऽतिथीन्। विमुखान्नार्थिनः कुर्यान्नाऽवमन्येत नाऽक्षिपेत्॥,"""One should honor gods, cows, brahmins, the elderly, physicians, kings, and guests. One should not turn one's face away from supplicants, nor despise or revile them.  """,
65,astang_hriday_1_27-282,"उपकारप्रधानः स्यादपकारपरेऽप्यरौ। सम्पद्विपत्स्वेकमना, हेतावीर्ष्येत्फले न तु॥","""He should be primarily intent on benefiting [others], even towards an enemy intent on harming [him].  He should be of one mind in prosperity and adversity, and he should be envious in the cause, but not in the result.  """,
66,astang_hriday_1_27-286,"काले हितं मितं ब्रूयादविसंवादि पेशलम्। पूर्वाभिभाषी, सुमुखः सुशीलः करुणा-मृदुः॥","""[One] should speak at the right time, mild and sweet, unequivocal and amiable words. [One should be one who] speaks first, bright-faced, well-conducted, compassionate, and soft.  """,
67,astang_hriday_1_27-290,"नैकः सुखी, न सर्वत्र विश्रब्धो, न च शङ्कितः। न कञ्चिदात्मनः शत्रुं नात्मानं कस्यचिद्रिपुम्॥","""One shall not be happy alone, nor trustful everywhere, nor afraid [of everyone]. One shall not proclaim anyone [to be] one's own enemy, nor oneself [to be] anyone's foe.  """,
68,astang_hriday_1_27-294,प्रकाशयेन्नापमानं न च निःस्नेहतां प्रभोः। जनस्याऽऽशयमालक्ष्य यो यथा परितुष्यति॥,"""One shall not proclaim contempt, nor one's master's ungraciousness. Having discerned a person's character, one shall adapt oneself to them in such a way that they are content.  """,
