refno,type,text
vetalkatha_vetalkatha_L43,prose,"अतः सः सर्वविषयेषु अपि जयम् प्राप्नुवन् अस्ति"" इति।"
vetalkatha_vetalkatha_L44,prose,एतस्य वचनस्य श्रवणमात्रेण दर्पणस्य पुरतः स्थितवतः सोमसुन्दरस्य मुखम् कान्तिहीनम् जातम्।
vetalkatha_vetalkatha_L45,prose,वस्तुस्थितेः ज्ञानात् कुपितः विजयदेवः सोमसुन्दरस्य भुजे बद्धम् तायकम् बलात् निष्कास्य क्षिप्तवान्।
vetalkatha_vetalkatha_L46,prose,अनन्तरम् तयोः मल्लयुद्धार्थम् सर्वाः व्यवस्थाः कल्पितवान् शिवदत्तः।
vetalkatha_vetalkatha_L47,prose,अपूर्वस्य दर्पणस्य वचनानि वास्तविकानि इति निरूपयन् इव विजयदेवः बलात् सोमसुन्दरम् प्रताड्य अधः पातितवान्।
vetalkatha_vetalkatha_L48,prose,रत्नपुरम् वज्रपुरम् च सिंहपुरस्य प्रतिवेशिराज्यद्वयम्।
vetalkatha_vetalkatha_L49,prose,तत् राज्यद्वयम् सिंहपुरस्य सामन्तराज्यम् अपि।
vetalkatha_vetalkatha_L50,prose,"रत्नपुरस्य राजकुमारी विजयमाधवी, वज्रपुरस्य राजकुमारी चन्द्रकला च अप्रतिमसुन्दर्य़ौ इति श्रुतवान् आसीत् शिवदत्तः।"
vetalkatha_vetalkatha_L51,prose,सः तयोः उभयोः अपि भावचित्रम् आनाय्य दृष्टवान्।
vetalkatha_vetalkatha_L52,prose,उभे अपि सौन्दर्येण समाने आस्ताम्।
vetalkatha_vetalkatha_L53,prose,तयोः मध्ये सुन्दरतरा का इति निर्णेतुम् अशक्तः शिवदत्तः तयोः मातापितृभ्यः वार्ताम् प्रेषितवान् यत् – पुत्र्या सह सिंहपुरम् आगच्छन्तु इति।
vetalkatha_vetalkatha_L54,prose,अनन्तरदिने एव सामन्तराजौ उभौ अपि राजकुमारीभ्याम् सह सिंहपुरम् आगतवन्तौ।
vetalkatha_vetalkatha_L55,prose,शिवदत्तः अतिथिगृहे तेषाम् वसतिव्यवस्थाम् कल्पितवान्।
vetalkatha_vetalkatha_L56,prose,"कदाचित् सायङ्कालसमये शिवदत्तः सामन्तराजौ दृष्ट्वा उक्तवान् - ""मम आह्वानम् पुरस्कृत्य भवन्तौ अत्र आगतवन्तौ इति यत् तेन अहम् सन्तुष्टः अस्मि।"
vetalkatha_vetalkatha_L57,prose,भवतः अत्र आह्वानस्य कारणम् एतावता एव भवद्भ्याम् ऊहितम् स्यात् अपि।
vetalkatha_vetalkatha_L58,prose,तथापि स्पष्टज्ञानार्थम् अहम् वदिष्यामि।
vetalkatha_vetalkatha_L59,prose,राजकुमार्योः विजयमाधवीचन्द्रकलयोः भावचित्रदर्शनात् अपि सुन्दरतरा का इति अहम् निर्णेतुम् अशक्तः जातः अहम्।
vetalkatha_vetalkatha_L60,prose,इदानीम् अहम् विजयमाधवीम् चन्द्रकलाम् च प्रत्यक्षम् पश्यन् अस्मि।
vetalkatha_vetalkatha_L61,prose,तथापि एतयोः का सुन्दरतरा इति अहम् निर्णेतुम् न शक्नोमि।
vetalkatha_vetalkatha_L62,prose,अतः एतस्याः समस्यायाः परिहारम् अपूर्वदर्पणस्य साहाय्येन प्राप्तुम् शक्नुमः वयम्।
vetalkatha_vetalkatha_L63,prose,"राजकुमार्योः दर्पणस्य पुरतः तिष्ठतः चेत् सौन्दर्यवती का इति अपूर्वदर्पणः वदिष्यति"" इति।"
vetalkatha_vetalkatha_L64,prose,"अनुक्षणम् चन्द्रकला - ""अहम् स्पर्धार्थम् सिद्धा अस्मि"" इति वदन्ती गत्वा दर्पणस्य पुरतः स्थितवती।"
vetalkatha_vetalkatha_L65,prose,"किन्तु विजयमाधवी मन्दहासम् प्रकटय्य उक्तवती - ""युवराजः अन्धः इति इदानीम् ज्ञातम् मया।"
vetalkatha_vetalkatha_L66,prose,"अन्धस्य परिणयापेक्षया अविवाहिततया स्थितिः एव श्रेयस्करी"" इति।"
vetalkatha_vetalkatha_L67,prose,"क्षणम् यावत् शिवदत्तः विजयमाधव्याः वचनात् कुपितः चेत् अपि अनन्तरम् तस्याः कथनस्य भावम् अवगत्य मन्दहासपूर्वकम् तस्याः पितरम् उक्तवान् - ""भवतः पुत्रीम् विजयमाधवीम् अहम् इष्टवान् अस्मि।"
vetalkatha_vetalkatha_L68,prose,"यदि तस्याः अपि सम्मतिः अस्ति, तर्हि इदानीम् एव विवाहसन्नाहः भवतु"" इति।"
vetalkatha_vetalkatha_L69,prose,"शिवदत्तस्य एतत् वचनम् श्रुत्वा विजयमाधव्याः मातापितरौ, तत्रत्याः राजोद्योगिनः च नितराम् आश्चर्यचकिताः।"
vetalkatha_vetalkatha_L70,prose,कानिचन दिनानि अतीतानि।
vetalkatha_vetalkatha_L71,prose,शिवदत्तविजयमाधव्योः विवाहः सवैभवम् सम्पन्नः।
vetalkatha_vetalkatha_L72,prose,मासः अतीतः वीरभद्रनामकः राजभवनस्य रक्षकः राज्ञ्याः विजयमाधव्याः आरक्षणपेटिकायाः उपरि स्थापितम् चन्द्रहारम् चोरयित्वा उद्यानस्थानस्य अशोकवृक्षस्य कोटरे स्थापितवान्।
vetalkatha_vetalkatha_L73,prose,'हारस्य अदृश्यताकारणात् राजभवने कोलाहलः भविष्यति एव।
vetalkatha_vetalkatha_L74,prose,"यदा कोलाहलः शान्तः भविष्यति, तदा हारम् गृहम् नेष्यामि' इति चिन्तितवान् आसीत् वीरभद्रः।"
vetalkatha_vetalkatha_L75,prose,किन्तु वीरभद्रेण वृक्षकोटरे हारस्थापनम् मल्लिकानामिकया दास्या दृष्टम् आसीत्।
vetalkatha_vetalkatha_L76,prose,वीरभद्रस्य निर्गमनानन्तरम् मल्लिका तम् हारम् स्वीकृत्य गृहम् गतवती।
vetalkatha_vetalkatha_L77,prose,राज्ञी विजयमाधवी चन्द्रहारस्य अदर्शनविषयम् पतिम् निवेदितवती।
vetalkatha_vetalkatha_L78,prose,"अन्तःपुरस्य दासीषु कयाचित्, रक्षकभटेषु केनचित् वा हारः चोरितः स्यात् इति विचिन्त्य शिवदत्तः तान् सर्वान् आनीय अपूर्वदर्पणस्य पुरतः स्थापयित्वा दर्पणम् उक्तवान् - ""हे अपूर्वदर्पण! चन्द्रहारस्य चोरः कः इति वदतु"" इति।"
vetalkatha_vetalkatha_L79,prose,भटाः दास्यः च एक एकशः अपूर्वदर्पणस्य अग्रभागतः अपरपार्श्वम् गतवन्तः।
vetalkatha_vetalkatha_L80,prose,दर्पणस्य पुरतः गमनसमये मल्लिका चातुर्येण वीरभद्रस्य पृष्ठतः स्थितवती।
vetalkatha_vetalkatha_L81,prose,स्वस्य पर्यायः यदा आगतः तदा वीरभद्रस्य शरीरे भयात् कम्पनम् आरब्धम्।
vetalkatha_vetalkatha_L82,prose,"तावता दर्पणः उक्तवान् - ""वीरभद्रः चोरः"" इति।"
vetalkatha_vetalkatha_L83,prose,"एतत् श्रुत्वा मल्लिका उरसि हस्तम् स्थापयित्वा - ""हा, रक्षिता अहम्"" इति मन्दस्वरेण स्वगतम् उक्तवती।"
vetalkatha_vetalkatha_L84,prose,एतत् अकस्मात् राज्ञ्या विजयमाधव्या दृष्टम्।
vetalkatha_vetalkatha_L85,prose,सा तत् क्षणम् भटान् आज्ञप्तवती यत् मल्लिकायाः बन्धनम् कुर्वन्तु इति।
vetalkatha_vetalkatha_L86,prose,"एतस्मात् आश्चर्यचकितः शिवदत्तः - ""माधवि! किम् इदम्? हारस्य चोरः वीरभद्रः इति दर्पणेन एव उक्तम् खलु।"
vetalkatha_vetalkatha_L87,prose,"एवम् सति निरपराधिन्याः मल्लिकायाः बन्धनम् किमर्थम्?"" इति पृष्टवान्।"
vetalkatha_vetalkatha_L88,prose,"""अत्र मल्लिका अपि सहभागिनी इति मम सन्देहः"" इति उक्तवती विजयमाधवी।"
vetalkatha_vetalkatha_L89,prose,"तदा शिवदत्तः तर्जनस्वरेण मल्लिकाम् उद्दिश्य - ""कोऽपि अपराधी सुलभतया अस्मान् वञ्चयितुम् न शक्नोति।"
vetalkatha_vetalkatha_L90,prose,"वस्तुतः किम् प्रवृत्तम् इति वदतु भवती"" इति उक्तवान्।"
vetalkatha_vetalkatha_L91,prose,"एतस्मात् भीता मल्लिका शिवदत्तस्य पादयोः पतित्वा प्रवृत्तम् सर्वम् निवेदितवती, गृहतः हारम् आनीय शिवदत्ताय दत्तवती च।"
vetalkatha_vetalkatha_L92,prose,शिवदत्तः चन्द्रहारम् विजयमाधव्याः कण्ठे स्थापयित्वा तस्याः चातुर्यम् अभिनन्दितवान्।
vetalkatha_vetalkatha_L93,prose,"अनन्तरम् शिवदत्तः पत्नीम् उद्दिश्य - ""एतस्मात् अपूर्वदर्पणात् लाभः यथा तथा हानिः अपि अस्ति।"
vetalkatha_vetalkatha_L94,prose,एतस्य प्रयोजनम् सीमितम् इति इदानीम् प्रमाणितम् अभवत्।
vetalkatha_vetalkatha_L95,prose,"अतः एतम् दर्पणम् अद्य एव मम गुरवे प्रत्यर्प्ययिष्यामि"" इति उक्तवान्।"
vetalkatha_vetalkatha_L96,prose,"वेतालः एवम्  कथाम्  समाप्य अवदत् - ""अये राजन्! मुनिवर्येण गजेन्द्रेण शिवदत्ताय यः दर्पणः दत्तः, सः केषुचित् सन्दर्भेषु समाधानकरम् उत्तरम्  न दत्तवान्।"
vetalkatha_vetalkatha_L97,prose,एतस्मात् दर्पणस्य सामर्थ्यविषये सन्देहः उत्पद्यते।
vetalkatha_vetalkatha_L98,prose,त्रिषु वीरेषु शूरतमः कः इति कथने विफलः जातः दर्पणः।
vetalkatha_vetalkatha_L99,prose,किन्तु मल्लयोधयोः सोमसुन्दरविजयदेवयोः विषये समाधानकरम् निर्णयम् उक्तवतः दर्पणस्य स्वभावः विचित्रः इव भासते।
vetalkatha_vetalkatha_L100,prose,राजकुमार्योः सौन्दर्यनिर्णयसन्दर्भे विजयमाधवी दर्पणस्य पुरतः स्थातुम् किमर्थम् न इष्टवती इति तु न ज्ञायते।
vetalkatha_vetalkatha_L101,prose,'राजकुमार्याः चन्द्रकलया सह स्पर्धायाम् जयम् प्राप्तुम् न शक्नोमि' इति विजयमाधव्याः चिन्तनम् स्यात् वा? तदास्ताम् तावत्।
vetalkatha_vetalkatha_L102,prose,सर्वाङ्गसुन्दरः मन्मथसदृशः शिवदत्तः न विकलाङ्गः।
vetalkatha_vetalkatha_L103,prose,एवम्  सति अपि 'सः अन्धः' इति तस्य उपहासम्  कुर्वत्या विजयमाधव्या यत् उक्तम् तत् अविवेकिनाम्  लक्षणम्  खलु! उपहासम्  कृतवतीम् अपि ताम्  शिवदत्तः मनसा इष्टवान्।
vetalkatha_vetalkatha_L104,prose,"एषः मूर्खतायाः परमावधिः खलु! अपूर्वदर्पणात् लाभः हानिः च इति उभयम् अपि सम्भवति इति किमर्थम्  चिन्तितम्  शिवदत्तेन? अपूर्वस्य अपि दर्पणस्य गुरवे प्रतिदानम् अविवेकिनाम्  लक्षणम् खलु! एतेषाम्  सन्देहानाम्  समाधानम्  जानन् अपि यदि भवान् न वदेत् तर्हि भवतः शिरः सहस्रधा भग्नम्  भवेत्"" इति।"
vetalkatha_vetalkatha_L105,prose,"तदा मौनम् स्थातुम् अशक्तः त्रिविक्रमः उक्तवान् - ""दर्पणः अपूर्वः महिमयुतः च इत्यत्र न अस्ति सन्देहः।"
vetalkatha_vetalkatha_L106,prose,किन्तु तस्यापि काचित् सीमा अस्ति इत्यपि वास्तविकः अंशः एव।
vetalkatha_vetalkatha_L107,prose,"सिंहलदेशतः आगताः वीरभूपतिः, धीरसिंहः, भूपालसिंहः च शौर्ये साहसे च समानाः इत्यत्र न अस्ति सन्देहः।"
vetalkatha_vetalkatha_L108,prose,अत एव तेषाम् मध्ये स्पर्धा न युज्यते।
vetalkatha_vetalkatha_L109,prose,"एतस्मात् कारणात् एव दर्पणः त्रिषु शूरतमम् न सूचितवान्, अपि तु मौनम् आश्रितवान्।"
vetalkatha_vetalkatha_L110,prose,किन्तु सोमसुन्दरविजयदेवयोः विषये निर्णयम् श्रावयितुम् शक्तः जातः दर्पणः।
vetalkatha_vetalkatha_L111,prose,"राजकुमारी विजयमाधवी सौन्दर्यनिर्णयार्थम् दर्पणस्य पुरतः स्थितिम् निराकृतवती इति यत्, तत् पराजयभीत्या न।"
vetalkatha_vetalkatha_L112,prose,"पुरतः स्थितवत्योः राजकुमार्योः सौन्दर्यनिर्णयम् शिवदत्तः स्वयम् कर्तुम् न शक्तवान्, अपि तु तत् दायित्वम् दर्पणे आरोपितवान्।"
vetalkatha_vetalkatha_L113,prose,एतस्मात् विजयमाधवी कुपिता।
vetalkatha_vetalkatha_L114,prose,अत एव सा 'शिवदत्तः अन्धः' इति उक्तवती।
vetalkatha_vetalkatha_L115,prose,तस्याः वचनस्य भावम् अवगत्य एव शिवदत्तः ताम् परिणीतवान्।
vetalkatha_vetalkatha_L116,prose,अपूर्वदर्पणस्य शक्तिः परिमिता अस्ति इति विषयम् ज्ञात्वा मल्लिका चौर्यम् कृत्वा अपि आत्मानम् रक्षितुम् इष्टवती।
vetalkatha_vetalkatha_L117,prose,किन्तु विजयमाधव्याः सूक्ष्मपरिशीलनेन चातुर्येण च प्रमाणितः अभवत् यत् मल्लिका एव चौर्यम् कृतवती इति।
vetalkatha_vetalkatha_L118,prose,एताम् घटनाम् परिलक्ष्य शिवदत्तः चिन्तितवान् यत् अपूर्वदर्पणस्य वचनात् कदाचित् सत्यस्थितिः अपि न ज्ञायते इति।
vetalkatha_vetalkatha_L119,prose,अपूर्वस्य साधनस्य अपेक्षया बुद्धिशक्तेः उपयोगेन समस्यापरिहारः एव वरम् इति विचिन्त्य शिवदत्तः निश्चितवान् यत् गजेन्द्राय दर्पणः प्रतिदातव्यः इति।
vetalkatha_vetalkatha_L120,prose,"शिवदत्तस्य निर्णयः सन्दर्भोचितः अस्ति"" इति।"
vetalkatha_vetalkatha_L121,prose,एवम् वदतः राज्ञः मौनभङ्गः यदा जातः तदा शवान्तर्गतः वेतालः ततः अदृश्यः भूत्वा वृक्षस्य शाखाम् अवलम्बितवान्।
vetalkatha_vetalkatha_L122,title,2.राक्षस्याः मोक्षः(02/96)
vetalkatha_vetalkatha_L123,prose,आरब्धम् कार्यम् परित्यक्तुम्  अनिच्छन् त्रिविक्रमः पुनरपि वृक्षस्य समीपम् गतवान्।
vetalkatha_vetalkatha_L124,prose,वृक्षम् आरुह्य शवम् स्कन्धे आरोप्य अधः आगतवान्।
vetalkatha_vetalkatha_L125,prose,ततः यथापूर्वम् मौनम् श्मशानाभिमुखम् प्रस्थितवान् च।
vetalkatha_vetalkatha_L126,prose,"तदा शवान्तर्गतः वेतालः अवदत् - ""हे राजन्! आरब्धम् कार्यम् साधनीयम् एव इति एताम् भवतः प्रवृत्तिम्, धैर्यम्, साहसम् च दृष्ट्वा अतीव सन्तुष्टः अहम्।"
vetalkatha_vetalkatha_L127,prose,"परन्तु एतादृशम् कठोरम् कार्यम् कर्तुम्म् भवान् मुनितः वा, मान्त्रिकतः वा प्रेरणाम् प्राप्नुवन् स्यात् इति सन्देहः अस्ति मम।"
vetalkatha_vetalkatha_L128,prose,यतः मान्त्रिकाः क्षुद्रदेवातानाम् आराधकाः।
vetalkatha_vetalkatha_L129,prose,कदाचित् आत्मना क्रियमाणे कार्ये असाफल्यम् प्राप्य सरलान् जनान् बलिपशून् कुर्वन्ति ते।
vetalkatha_vetalkatha_L130,prose,मुनयः तथा न कुर्वन्ति चेदपि आत्मनः तपोबलेन दुष्टान् अपि स्वर्गम् प्रेषयितुम् प्रयतन्ते।
vetalkatha_vetalkatha_L131,prose,तत्समये कदाचित् तेषाम् प्रयत्नः विपरीतम् एव फलम् ददाति।
vetalkatha_vetalkatha_L132,prose,एतस्य निदर्शनार्थम् असुराम्बिकानामिकायाः कथाम् श्रावयामि।
vetalkatha_vetalkatha_L133,prose,"श्रद्धया शृणोतु तावत्"" इति।"
vetalkatha_vetalkatha_L134,prose,अनन्तरम् वेतालेन कथा आरब्धा –
vetalkatha_vetalkatha_L135,prose,पूर्वकाले दण्डकारण्ये असुराम्बिकानामिका राक्षसी वसति स्म।
vetalkatha_vetalkatha_L136,prose,नरमांसम् सा विशेषतः इच्छति स्म।
vetalkatha_vetalkatha_L137,prose,काचित् विशाला गुहा तस्याः वासस्थानम् आसीत्।
vetalkatha_vetalkatha_L138,prose,तत् स्थलम्  कोऽपि प्रयाणिकः आगच्छति चेत् सा गुहातः बहिः आगत्य तम्  लीलया गृहीत्वा खादति स्म।
vetalkatha_vetalkatha_L139,prose,एकदा असुराम्बिका गुहायाम् निद्राम् कुर्वती आसीत्।
vetalkatha_vetalkatha_L140,prose,तदा एव विवाहार्थम् प्रस्थितः गणः तत्र आगतः।
vetalkatha_vetalkatha_L141,prose,अनुक्षणम् एव राक्षसी गुहातः बहिः आगतवती।
vetalkatha_vetalkatha_L142,prose,ताम् दृष्ट्वा गणे विद्यमानाः बहवः भीत्या धावितवन्तः।
vetalkatha_vetalkatha_L143,prose,तेषु कांश्चन जनान् खादितवती सा राक्षसी।
vetalkatha_vetalkatha_L144,prose,अनन्तरम् असुराम्बिका एकसप्ताहम् यावत् निद्रितवती।
vetalkatha_vetalkatha_L145,prose,यदा जागरणम् जातम् तदा सा बुभुक्षया आहारान्वेषणार्थम् अरण्यम् गतवती।
vetalkatha_vetalkatha_L146,prose,एकस्मिन् स्थले विनयशीलः नाम कश्चन मुनिः तपः कुर्वन्  आसीत्।
vetalkatha_vetalkatha_L147,prose,असुराम्बिका तम् दृष्टवती।
vetalkatha_vetalkatha_L148,prose,आहारः लब्धः इति सा सन्तोषम् अनुभवन्ती तस्य समीपम् गन्तुम् उद्युक्ता।
vetalkatha_vetalkatha_L149,prose,तदा तम् मुनिम् परितः सा वृत्ताकारेण अग्निज्वालाम् दृष्टवती।
vetalkatha_vetalkatha_L150,prose,"तस्मिन् क्षणे मुनिः नेत्रे उद्घाट्य उक्तवान् - ""असुराम्बिके किमर्थम् मानवान् खादति भवती? एतस्मात् हीनकार्यात् मुक्तिम् प्राप्तुम् मार्गम् अन्विष्यतु भवती।"
vetalkatha_vetalkatha_L151,prose,श्वः पवित्रा शिवरात्रिः।
vetalkatha_vetalkatha_L152,prose,भवती यम् कम् अपि मानवम् अखादित्वा भगवन्नामस्मरणम् करोतु।
vetalkatha_vetalkatha_L153,prose,कश्चन मानवः सर्वपापनिवारकम् गङ्गाजलम् भवत्यै दास्यति।
vetalkatha_vetalkatha_L154,prose,"तस्य जलपानस्य अनुक्षणम् एव राक्षसजन्मतः भवत्याः मुक्तिः भविष्यति"" इति।"
vetalkatha_vetalkatha_L155,prose,"असुराम्बिका मुनिम् नमस्कृत्य - ""महास्वामिन्! भवतः आज्ञानुसारम् करोमि"" इति उक्त्वा स्वगृहम् गतवती।"
vetalkatha_vetalkatha_L156,prose,तत्र बुभुक्षया अधिकम् कष्टम् अनुभूतवती।
vetalkatha_vetalkatha_L157,prose,अनन्तरशिवरात्रिदिने नागभैरवः नाम प्रसिद्धः चोरः अश्वम् आरुह्य तेन मार्गेण आगच्छन् आसीत्।
vetalkatha_vetalkatha_L158,prose,"तम् दृष्ट्वा असुराम्बिका बुभुक्षाम् सोढुम् अशक्ता गुहातः बहिः आगतवती, तम् मुष्ट्या गृहीतवती च।"
vetalkatha_vetalkatha_L159,prose,तदा नागभैरवः प्राणभयेन कम्पमानः प्रार्थितवान् यत् माम् मा मारयतु इति।
vetalkatha_vetalkatha_L160,prose,तत् वचनम् श्रुत्वा मुनेः वचनम् राक्षसी स्मृतवती।
vetalkatha_vetalkatha_L161,prose,"अतः नागभैरवम् भूमौ अवतारयन्ती सा पृष्टवती - ""भवान् कः? सत्यम् वदतु"" इति।"
vetalkatha_vetalkatha_L162,prose,"नागभैरवः प्रार्थितवान् - ""अहम् नागभैरवः नाम कश्चन चोरः।"
vetalkatha_vetalkatha_L163,prose,एतस्मात् पूर्वम् अहम् कस्मात् चित् विवाहगृहात् वस्तूनि चोरयित्वा आगतवान्।
vetalkatha_vetalkatha_L164,prose,तानि वस्तूनि इदानीम् भवत्यै दास्यामि।
vetalkatha_vetalkatha_L165,prose,"माम् मुञ्चतु कृपया"" इति।"
vetalkatha_vetalkatha_L166,prose,"असुराम्बिका चोरस्य वचनम् श्रुत्वा उच्चैः हसन्ती - ""भोः मानव! भवतः आभरणानि मम किमर्थम्?"" इति  उक्त्वा तम् गृहीतवती।"
