हत्या ईश्वराय न रोचते	கொல்வது ஈஸ்வரனுக்குப் பிடிக்காது.
स्वसमक्षे एव स्वसन्तानानां वधं द्रष्टुम् अपेक्षया तु अस्माभिः पूर्वम् एव मरणीयम् आसीत्।	எங்கள் சொந்த சந்ததியினர் நம் கண்முன்னே கொல்லப்படுவதைப் பார்ப்பதை விட, நாங்கள் முன்பே இறந்திருக்க வேண்டும்.
पञ्चमी अजा अभाषत-	ஐந்தாவது ஆடு பேசியது.
अथवा वन्ध्याभिः एव अस्माभिः भवितव्यम् आसीत्‌- येन अद्य स्वसन्तानानां वधः तु द्रष्टुं न अमेलिष्यत्। किन्तु किं कुर्याम? कुत्र वा निवेदयाम? कश्चित् न्यायाधिपतिः अपि तु न दृश्यते, यः अस्माकं प्रार्थनां शृणुयात्, अपराधिनः च मृत्युदण्डेन दण्डयेत्	அல்லது ஒரு வேளை மலட்டுத்தன்மையுள்ள பெண்கள் [மலட்டுத்தன்மையற்றவர்களாக] இருந்திருக்க வேண்டும், அதனால் இன்று நம் சொந்த சந்ததியினர் கொல்லப்படுவதை நாம் காண வேண்டியதில்லை. ஆனால் நாம் என்ன செய்ய முடியும்? [இதை] நாம் எங்கே புகாரளிக்க முடியும்? எங்கள் கோரிக்கையை யார் கேட்டு குற்றவாளிகளை தண்டிக்க முடியும் என்பதை எந்த நீதிபதியும் காண முடியாது.
इति।	இவ்வாறு.
अजाः अवयः च कुत्र उपविष्टाः आसन् ?	ஆடுகளும் செம்மறி ஆடுகளும் எங்கே அமர்ந்திருந்தன?
तासु एका किम् अभाषत ?	அவர்களில் ஒருவர் என்ன சொன்னார்?
तृतीया अजा किं भाषितवती ?	மூன்றாவது ஆடு என்ன சொன்னது?
पञ्चम्याः अजायाः भाषणं किम् आसीत् ?	ஐந்தாவது ஆட்டின் பேச்சு என்ன?
ईश्वरः किं न क्षमते ?	கர்த்தர் எதை பொறுத்துக்கொள்ள மாட்டார்?
त्यागे सौख्यम्	துறப்பதில் மகிழ்ச்சி இருக்கிறது.
सांसारिकपदार्था हि, नैव सन्ततसौख्यदाः। तत्त्यागे यादृशं सौख्यं, तदासक्तौ न तादृशम्॥	உலக விஷயங்கள், உண்மையில், தொடர்ச்சியான மகிழ்ச்சியைத் தருவதில்லை. அவர்களைக் கைவிடுவதால் ஏற்படும் மகிழ்ச்சி, அவர்கள் மீதுள்ள பற்றுதலால் வரும் மகிழ்ச்சியைப் போன்றது அல்ல.
महात्मा गोरक्षनाथः स्वतपस्याफलं दातुं योग्यपात्रम् अन्विष्यन् काशीं प्राप्तः।	மகா ஆன்மாவான கோரக்ஷநாதர், தனது துறவின் பலனைத் தரத் தகுதியான பெறுநரைத் தேடி, காசிக்கு வந்தார்.
तत्र गङ्गातटे भ्रमन् एकं संन्यासिनम् अद्राक्षीत्।	அங்கு, கங்கைக் கரையில் அலைந்து திரிந்த அவர், ஒரு *சன்யாசின்* (துறந்து) பார்த்தார்.
सः स्वकीयं संन्यासदण्डं गङ्गायां प्रवाहयन् आसीत्।	அவர் கங்கையில் தனது சொந்த கைத்தடியை மிதந்து கொண்டிருந்தார்.
"गोरक्षानाथः तम् एव दानपात्रं निश्चित्य तम् अब्रवीत्- ""महात्मन्! अहम् आत्मीयं तपःफलं भवते समर्पयितुम् इच्छामि। एतत् स्वीकृत्य अनुगृह्णातु मां भवान्।"""	"கோரக்ஷநாதர், அவர் பரிசுகளைப் பெறத் தகுதியானவர் என்பதை உறுதிசெய்து, அவரிடம் கூறினார்: ""ஓ, பெரியவரே! எனது துறவின் பலனை (தபஃபலா) உங்களுக்கு வழங்க விரும்புகிறேன். தயவுசெய்து இதை ஏற்றுக்கொண்டு எனக்கு அனுதாபம் செய்யுங்கள்."""
संन्यासी सहर्षं तद्गृहीत्वा तत्क्षणम् एव तदपि गङ्गाजले प्रवाहितं कृतवान्।	துறந்தவர், மகிழ்ச்சியடைந்து, அதை எடுத்து உடனடியாக கங்கை நீரில் போட்டார்.
"तस्य इमां निःस्पृहां संन्यासितां दृष्ट्वा गोरक्षनाथः अतीव आनन्दितः अभूत् अवोचत् च- ""अहो! धन्यः अस्ति भवान्, धन्या च भवदीया इयं त्यागशीलता। सत्यम् एव मत्तः सिद्धिफलं स्वीकृत्य भवान् तस्य दुष्परिणामतः मां संरक्षितवान् अस्ति"""	"அவரது விருப்பமின்மை மற்றும் துறவைக் கண்டு, கோரக்ஷநாதர் மிகவும் மகிழ்ச்சியடைந்தார்: ""ஓ! நீங்கள் ஆசீர்வதிக்கப்பட்டவர், உங்கள் துறவு ஆவியும் ஆசீர்வதிக்கப்பட்டது. உண்மையாகவே, என்னிடமிருந்து சாதனையின் பலனை (சித்திபலம்) ஏற்றுக்கொண்டதால், அதன் மோசமான விளைவுகளிலிருந்து என்னைக் காத்தீர்கள்."""
इति।	இவ்வாறு.
गोरक्षनाथः किं कर्तुम् इच्छति स्म?	கோரக்ஷனாதா என்ன செய்ய விரும்பினார்
गोरक्षनाथाय दानपात्रं कः मिलितः? सः किं कुर्वन् आसीत्?	பிச்சை பாத்திரத்துடன் கோரக்ஷநாதனை சந்தித்தது யார்? அவர் என்ன செய்து கொண்டிருந்தார்?
संन्यासी गोरक्षनाथतः गृहीतस्य तपस्याफलस्य किं कृतवान्?	துறந்த கோரக்ஷநாதர் தான் மேற்கொண்ட தவத்தின் பலனை என்ன செய்தார்?
अस्य गोरक्षनाथे कः प्रभावः अभवत्?	கோரக்ஷநாதரின் மீது அவருக்கு என்ன அதிகாரம் இருந்தது?
सौख्यं त्यागे अस्ति अथवा आसक्तौ? कथयत।	மகிழ்ச்சி என்பது துறப்பதில் உள்ளதா (*த்யாக*) அல்லது பற்றுதலில் (*ஆசக்தி*)? சொல்லுங்க.
कालात् पूर्वं फलेत् नहि	ஒரு முடிவு அதன் காலத்திற்கு முன்பே பழுக்க முடியாது.
समयागमनात् पूर्वं, नैव किञ्चित् प्रजायते। उप्त्वा बीजं फलं तस्य, तत्कालं नैव लभ्यते॥	*சமய* [தீட்சை] வருவதற்கு முன், எதுவும் எழுவதில்லை. ஒரு விதையை விதைத்தவுடன் அதன் பலன் உடனடியாக கிடைக்காது.
एकः राजा आसीत्।	ஒரு அரசன் இருந்தான்.
सः यस्मिन् तुष्यति स्म, तस्य दरिद्रता सदार्थं विनश्यति स्म।	யாரை மகிழ்விக்கிறானோ அவனுடைய வறுமை எப்போதும் அழிந்தது.
अनेके जनाः ततः लाभान्विताः अभवन्।	பின்னர் பலர் ஆதாயம் பெற்றனர்.
तस्य आवासात् किञ्चित् दूरे एव एकः निर्धनः युवा वृक्षस्य अधस्तात् निवसति स्म।	அவர் வசிக்கும் இடத்திற்கு சற்று தொலைவில் ஒரு ஏழை இளைஞன் ஒரு மரத்தடியில் வசித்து வந்தான்.
सः न कमपि याचते स्म।	அவர் யாரிடமும் பிச்சை எடுத்ததில்லை.
किन्तु यत् किञ्चित् पथिकेभ्यः मिलति स्म, तेन एव सः सन्तुष्टः आसीत्।	ஆனால், பயணிகளிடம் இருந்து கொஞ்சம் கொஞ்சமாகப் பெற்றாலும் திருப்தியடைந்தார்.
एकदा राजा सभायां तम् आहूतवान् किञ्चित् सुभाषितं च श्रावयितुं तं कथितवान्।	ஒருமுறை, அரசர் அவரைச் சபைக்கு வரவழைத்து, சில புத்திசாலித்தனமான சொற்களை (சுபாஷிதா) சொல்லச் சொன்னார்.
तदा सः गीतवान् -	பிறகு பாடினார்.
पूर्वतः पूर्णमेवाब्धिं, भरन्ति सरितः सदा।श्रीरपि स्वां विना भाग्यं, कञ्चिद् दर्शयते नहि॥	ஆரம்பத்தில் இருந்தே நிரம்பியிருக்கும் சமுத்திரத்தை நதிகள் எப்போதும் நிரப்புகின்றன. செழிப்பு (ஸ்ரீ) கூட நல்ல அதிர்ஷ்டம் (பாக்யம்) இல்லாமல் யாருக்கும் காட்டாது.
अनेन सन्तुष्टः राजा तस्मै रत्नभरितम् एकं बृहत् दाडिमफलं प्रदत्तवान्।	இதைக் கண்டு மகிழ்ந்த அரசன், நகைகள் நிரம்பிய பெரிய மாதுளம்பழத்தைக் கொடுத்தான்.
सः युवकः तु बहिरागच्छन् कस्मैचित् धनिकाय तत्फलं विक्रीतवान्।	அந்த இளைஞன், வெளியில் சென்று, அந்தப் பழத்தை ஒரு செல்வந்தரிடம் விற்றான்.
तस्य उत्तमतां विचार्य राजानं प्रसादयितुं धनिकः राज्ञे तत्फलं समर्पितवान्।	அதன் சிறப்பைக் கருதிய செல்வந்தர், அரசனை மகிழ்விக்கும் பொருட்டு, அந்தப் பழத்தை அரசனுக்குக் கொடுத்தார்.
राजा तद् गृहीत्वा द्वितीयस्मिन् दिने अपि पूर्ववत् सभायां तम् एव युवकं समाहूय ततः च ताम् एव गीतिम् आकर्ण्य तस्मै तत् फलं समुपाहरत्।	அதை எடுத்துக் கொண்ட மன்னன், இரண்டாம் நாளிலும், முன்பு போலவே, அந்த இளைஞனை சபைக்கு வரவழைத்து, அந்தப் பாடலைக் கேட்டபின், அந்தப் பழத்தை அவனுக்குப் பரிமாறினான்.
युवकः तत् फलं पूर्ववत् एव एकस्याः वेश्यायाः हस्ते विक्रीतवान्।	அந்த இளைஞன் முன்பு போலவே அந்தப் பழத்தை ஒரு விபச்சாரியின் கையில் விற்றான்.
सा वेश्या अपि राजप्रसादं प्राप्तुं तत् फलं राज्ञे समर्पितवती।	அந்த வேசி, மன்னனின் தயவைப் பெறுவதற்காக, அந்தப் பழத்தையும் அரசனுக்குக் கொடுத்தாள்.
तृतीयदिने राजा पुनः तं युवकं सभायाम् आकार्य ततः पूर्वगीताम् एव गीतिं श्रुत्वा पुनरपि  तदेव फलं तस्मै दत्तवान्।	மூன்றாம் நாள், அரசன் அந்த இளைஞனை மீண்டும் சபைக்கு வரவழைத்து, அதே பாடலைக் கேட்டபின், மீண்டும் அதே பழத்தை அவனுக்குக் கொடுத்தான்.
अधुना तु तत् फलं तस्य हस्ततः भूमौ निपत्य भग्नम् अभवत्।	ஆனால் இப்போது அந்த பழம் அவன் கையிலிருந்து தரையில் விழுந்து உடைந்தது.
सर्वाणि देदीप्यमानानि बहुमूल्यानि रत्नानि बहिर्निःसृत्य सर्वाम् अपि सभां विस्मयवतीं कृतवन्ति।	அனைத்து கதிரியக்கமான, மிகவும் மதிப்புமிக்க நகைகள் வெளிவந்து முழு சபையையும் வியப்பில் ஆழ்த்தியது.
सर्वेपि सभ्याः राज्ञः औदार्यं  भृशम् अभिनन्दितवन्तः।	பேரவை உறுப்பினர்கள் அனைவரும் அரசனின் பெருந்தன்மையை வெகுவாகப் பாராட்டினர்.
राजा तु 'युवकगीतेः सार्थकता एव अनेन प्रमाणिता'	"ஆனால் அரசன், ""உண்மையில், இளைஞர்களின் பாடலின் பொருள் இதன் மூலம் நிரூபிக்கப்பட்டுள்ளது"" என்று நினைத்தார்."
इति उक्त्वा तम् अपि युवकम् आत्मनः एकविश्वासपात्रसेवकरूपे स्वीकृतवान् इति।	இதைச் சொல்லி, அந்த இளைஞனையும் தன் நம்பிக்கைக்குரிய வேலையாட்களில் ஒருவராக ஏற்றுக்கொண்டார்.
राज्ञा राजसभायाम् आहूतः निर्धनः किं गीतवान् ?	அரச சபையில் (ராஜசபா) அரசரால் அழைக்கப்பட்ட போது அந்த ஏழை என்ன பாடினான்?
राजा तस्मै कतिवारं फलं दत्तवान् ?	அரசன் எத்தனை முறை பழம் கொடுத்தான்?
फले कानि रक्षितानि आसन् ?	என்ன பழங்கள் பாதுகாக்கப்பட்டன?
राजा युवकं सेवकरूपे किं स्वीकृतवान्‌ ?	அரசன் இளைஞனை ஏன் வேலைக்காரன் வடிவில் ஏற்றுக்கொண்டான்?
इयं कथा कं सन्देशं ददाति ?	இந்தக் கதை என்ன செய்தியைக் கொடுக்கிறது?
सः कीदृशः हिन्दुः?	அவர் எப்படிப்பட்ட இந்து?
मिलन्ति यद्‌गृहे नैव, गीतारामायणादयः। स किं सनातनी हिन्दुः, शिखासूत्रविवर्जितः?॥	யாருடைய வீட்டில் கீதை, ராமாயணம், முதலியவை ஒருபோதும் ஓதப்படுவதில்லை, அவர் ஒரு பாரம்பரிய இந்து, முடி கொட்டை மற்றும் புனித நூல் இல்லாதவரா?
मम नगरान्तरे गमनम् अभूत्।	நான் வேறு ஊருக்குச் சென்றேன்.
तत्र मया भाषणं देयम् आसीत्।	அங்கு நான் ஒரு உரை நிகழ்த்த வேண்டியிருந்தது.
सामग्रीसङ्‌कलनार्थं मम तदा गीतारामायणमहाभारतादिग्रन्थानाम् आवश्यकता आपतिता।	பொருட்கள் சேகரிக்கும் நோக்கத்திற்காக, கீதை, ராமாயணம், மகாபாரதம் போன்ற புத்தகங்கள் அப்போது எனக்கு தேவைப்பட்டன.
अहं यस्य अतिथिः आसं, स सनातनधर्मसभायाः कर्मठः सदस्यः अवर्तत।	நான் அவருக்கு விருந்தினராக இருந்தேன், அவர் சனாதன தர்ம சபையின் தீவிர உறுப்பினராக இருந்தார்.
अहं स्वीयाम् आवश्यकतां तस्य सम्मुखे उपस्थापितवान्।	என் தேவையை அவர் முன் முன்வைத்தேன்.
मम अतीव आश्चर्यम् आसीत्, तस्य संस्कृतज्ञानं तु दूरे तिष्ठतु, इमे ग्रन्थाः तस्य गृहे न आसन्।	நான் மிகவும் ஆச்சரியப்பட்டேன்; சமஸ்கிருத அறிவு ஒருபுறம் இருக்க, இந்தப் புத்தகங்கள் அவருடைய வீட்டில் கூட இல்லை.
"अहम् आत्मीयां वेदनां स्वकीये भाषणे व्यक्तां कृतवान् यत् ""सः कीदृशः सनातनधर्मावलम्बी हिन्दुः, यस्य गृहे परमपावनाः गीतारामायणमहाभारतादिग्रन्थाः अपि न मिलन्ति। यः सन्ध्योपासनां न करोति, यः गायत्रीमन्त्रं नित्यं न जपति किं सः अपि हिन्दुः? हन्त! असंस्कृतज्ञाः अपि ब्राह्मणाः स्वनाम्ना सह पण्डितः. चतुर्वेदी, त्रिवेदी, त्रिपाठी, अग्निहोत्री, शास्त्री, आचार्यः इत्यादि योजयित्वा किं शिष्टजनोचितं कर्म कुर्वन्ति?"""	"எனது உரையில் எனது சொந்த வலியை வெளிப்படுத்தினேன், ""சனாதன தர்மத்தை (*சனாதன-தர்மம்*) பின்பற்றுபவர் என்ன வகையானவர், யாருடைய வீட்டில் *கீதை*, *ராமாயணம்*, *மஹாபாரதம்*,* *மகாபாரதம்* போன்ற உன்னதப் புனித நூல்கள் கூட யாருடைய வீட்டில் உள்ளனவோ, யார் யாரை வழிபடவில்லையோ? *காயத்ரி மந்திரத்தை* தொடர்ந்து ஜபிப்பதில்லை, அவரும் ஒரு இந்துவா ? அவர்கள் மரியாதைக்குரிய நபர்களுக்கு ஏற்ற செயல்களைச் செய்கிறார்களா?"""
इति।	இவ்வாறு.
अहं यस्य अतिथिः आसं सः कः आसीत्?	நான் யாருடைய விருந்தாளியாக இருந்தேன்?
अहं कां स्वीयाम् आवश्यकतां तस्य सम्मुखे उपस्थापितवान्?	அவர் முன் நான் என்ன தனிப்பட்ட தேவையை முன்வைத்தேன்?
अहं स्वकीये भाषणे कीदृशीम् आत्मवेदानां व्यक्तां कृतवान्?	எனது சொந்த பேச்சில் சுய அறிவை நான் எவ்வாறு தெளிவுபடுத்தினேன்?
यद्‌गृहे गीतारामायणादयः न मिलन्ति, सः किं न भवति?	கீதை, ராமாயணம் போன்றவை யாருடைய வீட்டில் இல்லை என்றால் என்ன ஆகாது?
इयं कथा कां प्रेरणां ददाति?	இந்தக் கதை என்ன உத்வேகத்தை அளிக்கிறது?
हरिकथाश्रवणलाभः	ஹரியின் கதைகளைக் கேட்டதின் பலன்.
हरिकथा निरर्था न, श्रोतव्या सा निरन्तरम् । श्रवणं सार्थकं तस्याः, व्यर्थं नैव कदाचन ॥	ஹரியின் கதைகள் அர்த்தமற்றவை அல்ல; அவை தொடர்ந்து கேட்கப்பட வேண்டும். அவற்றைக் கேட்பது அர்த்தமுள்ளது; அது ஒருபோதும் பயனற்றது.
"माता प्रथमं तु पुत्रं चौर्यकरणात् बहु निवारितवती, परं यदा सः स्वीयां चौर्यकरणप्रवृत्तिं नैव पर्यत्यजत्, तदा सा पुत्रम् उपदिष्टवती - ""यदि त्वं चौर्यकरणं नैव त्यजसि, तर्हि मा त्यज। किन्तु कस्यचित् साधुमहात्मनः सङ्गतिम् अपि कदापि मा कुरु। कुत्रचित् यदि कथा अपि जायमाना स्यात्, तर्हि तत्र मा कदापि सम्मिलितः भव, न च कथाम् एव शृणु। इदं सदा एव ध्याने रक्ष। अस्मिन् एव तव कल्याणम्।"""	"முதலில், தாய் தன் மகனைத் திருடுவதில் இருந்து பெரிதும் விலக்கினாள், ஆனால் அவன் திருட்டில் நாட்டத்தைக் கைவிடாதபோது,   அவள் தன் மகனுக்கு அறிவுறுத்தினாள்: ""திருடலைக் கைவிடவில்லை என்றால், அதை விட்டுவிடாதே, ஆனால் எந்த ஒரு நல்ல ஆன்மாவுடன் (சாது-மஹாத்மன்) ஒருபோதும் தொடர்பு கொள்ளாதே (சாது-மஹாத்மன்) கதை எங்கும் நடக்கவில்லை என்றால், இது எப்போதும் நடக்காது. உங்கள் நலன் இதில் மட்டுமே உள்ளது."""
पुत्रः मातुः इमाम् आज्ञां शिरसि धारितवान्, ताम् आश्वासयत् च यत् सः एवम् एव आचरिष्यति।	மகன் தன் தாயின் கட்டளையை தலையில் ஏற்று அதன்படி நடப்பதாக உறுதி அளித்தான்.
एकदिने प्रतिवेशिग्रामे चौर्यं कर्तुं सः प्रस्थितः।	ஒரு நாள், பக்கத்து கிராமத்தில் திருடச் சென்றான்.
मार्गे एकत्र हरिकथा जायमाना आसीत्।	வழியில் ஒரு இடத்தில் *ஹரிகதை* (ஹரியின் கதை) நடந்து கொண்டிருந்தது.
सा दूरतः अपि श्रूयते स्म।	என்று தூரத்தில் இருந்தும் கேட்டது.
सः तत्कालं स्वस्य कर्णौ अङ्गुलिभ्यां पिहितवान्।	உடனே, தன் காதுகளை விரல்களால் மூடினான்.
किन्तु हन्त! तस्मिन् एव क्षणे तस्य पादयोः एकः तीक्ष्णः कण्टकः लग्नः, येन तं निःसारयितुं सः कर्णात् हस्तम् अपसारितवान्।	ஆனால் ஐயோ! அந்த நேரத்தில், ஒரு கூர்மையான முள் அவரது காலில் துளைத்தது, அதை அகற்ற, அவர் காதில் இருந்து கையை எடுத்தார்.
तदा सः कथावाचकमुखात् - 'देवता भूमौ न पादौ रक्षति, न च स्वनयने निमीलति एव'	"பின்னர் அவர் (என்றார்), கதைசொல்லியின் வாயிலிருந்து: ""தெய்வம் தரையில் அவள் கால்களைப் பாதுகாக்கவில்லை, அவள் தன் கண்களை மூடுவதில்லை."""
एवं शृण्वन् अग्रे निःसृतः।	இதைக் கேட்ட அவர் வெளியே சென்றார்.
ग्रामं प्राप्य सः ग्रामाधिपतेः एव गृहात् बहुमूल्यानि वस्तूनि चोरयित्वा गृहम् आनीय मातुः समीपे अरक्षत्।	கிராமத்தை அடைந்த அவர், கிராமத் தலைவரின் வீட்டிலிருந்து மிகவும் மதிப்புமிக்க பொருட்களைத் திருடி, வீட்டிற்கு கொண்டு வந்து, தனது தாயின் அருகில் வைத்திருந்தார்.
ततः तस्य एकः आरक्षी चोरितानि वस्तूनि युक्तिबलेन प्राप्तुम् एकस्याः चण्डिकायाः वेषं धृत्वा चौरगृहे उपातिष्ठत।	அப்போது,   அவரது காவலர்களில் ஒருவர், திருடப்பட்ட பொருட்களை ஒரு தந்திரத்தின் மூலம் மீட்க, காண்டிகை வேடம் அணிந்து திருடன் வீட்டின் அருகே காத்திருந்தார்.
तस्मिन् समये  चौरः गृहे न आसीत्।	அப்போது வீட்டில் திருடன் இல்லை.
"चण्डिका चौरमातरं कथितवती - ""तव पुत्रः चौर्यारम्भतः पूर्वं मां प्रार्थितवान् आसीत् यत् यदि सः मम कृपया चौर्ये सफलः भविष्यति तर्हि मह्यं भोगं दास्यति। किन्तु सः अधुनावधि नैव अददात्। चोरितवस्तूनि तव समीपे एव सन्ति। त्वं मह्यं तानि वस्तूनि देहि, अन्यथा तव पुत्रम् अहम् उन्मत्तं कृत्वा मारयिष्यामि।"""	"காண்டிகா திருடனின் தாயிடம் சொன்னாள்: ""திருட்டைத் தொடங்குவதற்கு முன், உங்கள் மகன் என் அருளால் திருட்டில் வெற்றி பெற்றால், எனக்கு ஒரு பங்கு தர வேண்டும் என்று என்னிடம் பிரார்த்தனை செய்தான். ஆனால் அவன் அதை [அதை] கொடுக்கவில்லை. திருடப்பட்ட பொருட்கள் உன்னிடம் உள்ளன. நீ அதை எனக்குக் கொடு, இல்லையெனில் நான் உன் மகனைக் கொன்றுவிடுவேன்."""
पुत्रवात्सल्येन माता पुत्रस्य जीवनम् इच्छन्ती तत्कालम् एव सर्वाणि चोरितानि वस्तूनि चण्डिकायै दातुं बहिः आनीय स्थापितवती।	தாய் பாசத்தால், தன் மகனின் உயிருக்கு ஆசைப்பட்டு, திருடப்பட்ட பொருட்களை எல்லாம் உடனடியாக வெளியில் கொண்டுவந்து, காண்டிகாவிடம் கொடுக்க வைத்தாள்.
चण्डिका तानि वस्तूनि आदाय गन्तुम् उद्यता एव आसीत् यत् पुत्रः आगतः।	காண்டிகா, அந்தப் பொருட்களை எடுத்துக்கொண்டு, தன் மகன் வரும்போது புறப்படத் தயாராக இருந்தாள்.
सः मातरं तद्विषये पृष्टवान्।	இதுபற்றி அம்மாவிடம் கேட்டான்.
सा अपि आद्योपान्तं सर्वां तद्वार्ताम् अवोचत्।	அவள் அந்த முழு கதையையும் ஆரம்பம் முதல் இறுதி வரை சொன்னாள்.
पुत्रः कथावाचकस्य इदं वाक्यं स्मृत्वा यत् 'देवता भूमिं न स्पृशति न च अक्षिणी एव निमीलति'	தெய்வம் தரையைத் தொடாது, கண்ணை மூடுவதும் இல்லை' என்ற கதைசொல்லியின் மகனின் இந்தக் கூற்றை நினைவு கூர்ந்தார்.
, इयं तु चण्डिका भूमौ चलति अक्षिणी अपि मनुष्यवत् निमीलति।	ஆனால் இந்த காண்டிகா தரையில் நடமாடுகிறார், மேலும் ஒரு மனிதனைப் போல கண்களை மூடுகிறார்.
सत्यम् एव इयं वास्तवे चण्डिका न अस्ति, अपि तु चण्डिकारूपधरः एव कश्चन धूर्तः इति निश्चित्य तां बलात् निगृह्य तस्याः दुर्गतिं कर्तुं प्रवृत्तः, यथा सा प्राणरक्षार्थं पलायमाना एव अदृश्यत इति।	அவள் உண்மையாகவே உண்மையான காண்டிகா இல்லை, மாறாக காண்டிகாவின் வடிவில் மாறுவேடமிட்ட சில முரடர்கள், அவளை வலுக்கட்டாயமாகப் பிடித்து அவளுக்கு துரதிர்ஷ்டத்தை ஏற்படுத்தத் தொடங்கினார், அதனால் அவள் உயிரைக் காப்பாற்றிக் கொள்ள ஓடி மறைந்தாள்.
माता पुत्रं किम् उपदिष्टवती ?	தாய் தன் மகனுக்கு என்ன அறிவுரை வழங்கினார்?
